material_id,formula_pretty,chemsys,crystal_system,spacegroup_number,nsites,energy_above_hull,is_stable
mp-448,CoN,Co-N,Cubic,216,2,0.10286146062500001,0
mp-1194075,CoN12,Co-N,Triclinic,2,26,1.577843695769231,0
mp-1412630,CoN12,Co-N,Triclinic,2,26,5.822058452692309,0
mp-22762,CoN3,Co-N,Cubic,204,16,0.383967929999998,0
mp-766681,Co15O28,Co-O,Triclinic,2,43,0.023970381727576002,1
mp-850026,Co21O40,Co-O,Tetragonal,82,61,0.048658195807965,1
mp-2740066,Co23O32,Co-O,Tetragonal,121,55,0.004434659181818,1
mp-705564,Co23O32,Co-O,Triclinic,1,55,0.0,1
mp-705563,Co29O40,Co-O,Triclinic,1,69,0.095079775942028,0
mp-1043418,Co2O3,Co-O,Orthorhombic,63,20,0.300602043428572,0
mp-1271784,Co3O4,Co-O,Orthorhombic,74,14,0.030381710714285002,1
mp-1271793,Co3O4,Co-O,Trigonal,166,14,0.0,1
mp-1271940,Co3O4,Co-O,Tetragonal,141,14,0.089898100714285,0
mp-18748,Co3O4,Co-O,Cubic,227,14,0.010479931428569001,1
mp-1046082,Co5O7,Co-O,Orthorhombic,63,24,0.40763792428571405,0
mp-761471,Co5O8,Co-O,Cubic,216,13,0.023987028791211003,1
mp-2215229,Co7O12,Co-O,Triclinic,1,19,0.152064678120301,0
mp-756900,Co7O12,Co-O,Monoclinic,5,19,0.12498535548872201,0
mp-1343966,Co9O13,Co-O,Monoclinic,12,22,0.24749950639610402,0
mp-1244882,CoO,Co-O,Triclinic,1,80,0.401737901749999,0
mp-1244939,CoO,Co-O,Triclinic,1,80,0.409406951625,0
mp-1245089,CoO,Co-O,Triclinic,1,80,0.36880369100000104,0
mp-1245304,CoO,Co-O,Triclinic,1,80,0.384123679375001,0
mp-19079,CoO,Co-O,Cubic,225,4,0.036914996250001005,1
mp-19128,CoO,Co-O,Hexagonal,186,4,0.00041258,1
mp-19275,CoO,Co-O,Tetragonal,139,8,0.131636747499999,0
mp-22408,CoO,Co-O,Cubic,216,4,0.0,1
mp-1041988,CoO2,Co-O,Orthorhombic,74,12,0.253812030000001,0
mp-1047639,CoO2,Co-O,Orthorhombic,63,12,0.23480973333333402,0
mp-1062643,CoO2,Co-O,Orthorhombic,42,3,0.520669376666668,0
mp-1062939,CoO2,Co-O,Trigonal,166,12,0.10650073749999901,0
mp-1063268,CoO2,Co-O,Orthorhombic,65,3,0.41009983000000005,0
mp-1178540,CoO2,Co-O,Monoclinic,5,24,0.025875649583334003,1
mp-1181781,CoO2,Co-O,Monoclinic,12,3,1.30993814,0
mp-1226115,CoO2,Co-O,Monoclinic,8,3,0.656795460000001,0
mp-1244867,CoO2,Co-O,Triclinic,1,90,0.634333327555556,0
mp-1244948,CoO2,Co-O,Triclinic,1,90,0.697332822444446,0
mp-1245011,CoO2,Co-O,Triclinic,1,90,0.697195838555557,0
mp-1245099,CoO2,Co-O,Triclinic,1,90,0.732110692,0
mp-1245119,CoO2,Co-O,Triclinic,1,90,0.588426267000001,0
mp-1272680,CoO2,Co-O,Monoclinic,12,12,0.014164345833335002,1
mp-1272749,CoO2,Co-O,Trigonal,166,6,0.11969715666666601,0
mp-1275937,CoO2,Co-O,Hexagonal,194,12,0.096501633333332,0
mp-1278455,CoO2,Co-O,Triclinic,2,12,0.012461142500001,1
mp-1278937,CoO2,Co-O,Tetragonal,141,12,0.057328405000000006,0
mp-1281832,CoO2,Co-O,Monoclinic,15,6,0.07324839500000101,0
mp-1344053,CoO2,Co-O,Orthorhombic,62,24,0.025268048749999,1
mp-1349907,CoO2,Co-O,Monoclinic,8,48,0.181285593750001,0
mp-1356781,CoO2,Co-O,Trigonal,156,36,0.10394189250000001,0
mp-1359404,CoO2,Co-O,Trigonal,156,36,0.083427535555556,0
mp-1400906,CoO2,Co-O,Tetragonal,87,12,0.0,1
mp-1408926,CoO2,Co-O,Hexagonal,194,6,1.279850988333334,0
mp-25234,CoO2,Co-O,Trigonal,166,6,0.088741551666665,0
mp-32686,CoO2,Co-O,Trigonal,164,6,0.107486098333332,0
mp-504097,CoO2,Co-O,Cubic,227,12,0.11969571083333201,0
mp-550206,CoO2,Co-O,Trigonal,166,3,0.0067494116666670005,1
mp-556750,CoO2,Co-O,Monoclinic,12,3,0.16302866000000102,0
mp-754720,CoO2,Co-O,Trigonal,166,6,0.140327678333334,0
mp-754748,CoO2,Co-O,Orthorhombic,39,12,0.005798527500001,1
mp-755508,CoO2,Co-O,Hexagonal,186,24,0.067827025,0
mp-756488,CoO2,Co-O,Trigonal,160,12,0.11995936583333401,0
mp-796278,CoO2,Co-O,Orthorhombic,64,6,0.16429427000000102,0
mp-856161,CoO2,Co-O,Orthorhombic,64,12,0.08908489499999901,0
mp-1079523,CoO4,Co-O,Monoclinic,11,10,0.599108415,0
mp-601848,Fe11Co5,Co-Fe,Tetragonal,123,16,0.0,1
mp-641526,Fe13Co3,Co-Fe,Tetragonal,123,16,0.0037431268750010003,1
mp-18695,Fe15Co,Co-Fe,Cubic,221,16,0.0009856337500000001,1
mp-601820,Fe3Co,Co-Fe,Tetragonal,123,4,0.0,1
mp-1084832,Fe5Co3,Co-Fe,Cubic,229,8,0.0510832340625,0
mp-1080603,Fe7Co,Co-Fe,Cubic,229,8,0.0005384212500000001,1
mp-601842,Fe9Co7,Co-Fe,Cubic,221,16,0.0,1
mp-1225016,FeCo,Co-Fe,Orthorhombic,65,2,0.103059915000001,0
mp-2090,FeCo,Co-Fe,Cubic,221,2,0.0,1
mp-1007852,FeCo3,Co-Fe,Cubic,221,4,0.056625132499999,0
mp-1225083,FeCo3,Co-Fe,Tetragonal,123,4,0.081429389999999,0
mp-1096987,FeCo9,Co-Fe,Tetragonal,123,10,0.637804134999999,0
mp-1008349,Co3Ni,Co-Ni,Cubic,221,4,0.015651018749998,1
mp-1183837,Co3Ni,Co-Ni,Hexagonal,194,8,0.0,1
mp-1226559,Co3Ni,Co-Ni,Hexagonal,187,4,0.023979028749998,1
mp-1006883,CoNi,Co-Ni,Cubic,221,2,0.16957769249999902,0
mp-1226063,CoNi,Co-Ni,Orthorhombic,65,2,0.123119852499998,0
mp-1226076,CoNi,Co-Ni,Trigonal,166,2,0.030279887499997004,1
mp-1183751,CoNi3,Co-Ni,Cubic,221,4,0.024802626249999002,1
mp-1183785,CoNi3,Co-Ni,Hexagonal,194,8,0.030216969999999004,1
mp-1185970,Mn3Co,Co-Mn,Hexagonal,194,8,0.0,1
mp-1545421,Mn3Co,Co-Mn,Orthorhombic,63,8,0.0,1
mp-1009133,MnCo,Co-Mn,Cubic,221,2,0.0,1
mp-1186063,MnCo3,Co-Mn,Hexagonal,194,8,0.102159766249999,0
mp-999543,MnCo3,Co-Mn,Cubic,221,4,0.1096411625,0
mp-976799,Ni3Bi,Bi-Ni,Cubic,221,4,0.17344036671875002,0
mp-1220533,NiBi,Bi-Ni,Monoclinic,8,32,0.034478611250001005,1
mp-22861,NiBi,Bi-Ni,Hexagonal,194,4,0.30273572343750005,0
mp-999318,NiBi,Bi-Ni,Hexagonal,194,4,0.026048007500001,1
mp-23179,NiBi3,Bi-Ni,Orthorhombic,62,16,0.036121234374995,1
mp-623452,Mn3Bi,Bi-Mn,Tetragonal,139,4,0.393624719051722,0
mp-669332,Mn3Bi,Bi-Mn,Trigonal,166,16,0.6299638315517231,0
mp-1221736,MnBi,Bi-Mn,Orthorhombic,51,8,0.21875650478447903,0
mp-22878,MnBi,Bi-Mn,Hexagonal,194,4,0.44906315603448305,0
mp-568382,MnBi,Bi-Mn,Hexagonal,194,4,0.207830463534477,0
mp-1185989,MnBi3,Bi-Mn,Cubic,221,4,0.39517754551724205,0
mp-569792,CuBi,Bi-Cu,Hexagonal,194,4,0.14974264749999802,0
mp-1229111,Ag3Bi,Ag-Bi,Hexagonal,187,4,0.14664321500000102,0
mp-1006226,ZnBi,Bi-Zn,Orthorhombic,61,16,0.106655646249997,0
mp-1064405,ZnBi,Bi-Zn,Hexagonal,186,4,0.23942454000000102,0
mp-1100776,ZnBi3,Bi-Zn,Cubic,221,4,0.18967741499999802,0
mp-971718,ZnBi3,Bi-Zn,Tetragonal,139,4,0.17758092249999802,0
mp-1183465,Bi3Pb,Bi-Pb,Cubic,225,4,0.09424927749999701,0
mp-1227326,BiPb,Bi-Pb,Hexagonal,187,2,0.084652902499996,0
mp-1227459,BiPb4,Bi-Pb,Trigonal,166,5,0.03233875,1
mp-1227319,Bi3Sb,Bi-Sb,Trigonal,160,4,0.006644767499999001,1
mp-1227290,BiSb,Bi-Sb,Trigonal,160,2,0.0,1
mp-1227413,Bi2Te,Bi-Te,Tetragonal,122,6,0.11987426277778401,0
mp-1182783,Bi2Te3,Bi-Te,Monoclinic,12,5,0.634271542,0
mp-34202,Bi2Te3,Bi-Te,Trigonal,166,5,0.0,1
mp-568390,Bi2Te3,Bi-Te,Trigonal,166,5,0.24960225000000902,0
mp-28229,Bi4Te3,Bi-Te,Trigonal,166,7,0.0015551371428510002,1
mp-1214397,Bi8Te7,Bi-Te,Trigonal,164,45,0.001832977333336,1
mp-580062,Bi8Te9,Bi-Te,Trigonal,166,17,0.007293502941173001,1
mp-1227305,BiTe,Bi-Te,Orthorhombic,65,2,0.35627373250000705,0
mp-1227339,BiTe,Bi-Te,Trigonal,166,2,0.11529425250000701,0
mp-23224,BiTe,Bi-Te,Trigonal,164,12,0.00033317749999600005,1
mp-567362,BiTe,Bi-Te,Cubic,225,2,0.10425855750000301,0
mp-35216,BiTe3,Bi-Te,Trigonal,160,4,0.037764391249993,1
mp-1102082,Bi2Se,Bi-Se,Monoclinic,14,12,0.15001390111110802,0
mp-1182077,Bi2Se,Bi-Se,Orthorhombic,64,12,0.144572066111109,0
mp-1214190,Bi2Se,Bi-Se,Trigonal,164,12,0.06683410583332901,0
mp-1182583,Bi2Se3,Bi-Se,Monoclinic,12,5,0.6882820620000021,0
mp-1198150,Bi2Se3,Bi-Se,Tetragonal,137,40,0.14810547975000002,0
mp-23164,Bi2Se3,Bi-Se,Orthorhombic,62,20,0.014709641000003002,1
mp-541837,Bi2Se3,Bi-Se,Trigonal,166,5,0.0,1
mp-542615,Bi3Se4,Bi-Se,Trigonal,166,7,0.074107982142862,0
mp-27607,Bi4Se3,Bi-Se,Trigonal,166,7,0.006718635714285001,1
mp-680214,Bi8Se7,Bi-Se,Trigonal,164,45,0.009682616444450001,1
mp-1190284,Bi8Se9,Bi-Se,Trigonal,166,17,0.0017868382352900002,1
mp-1063755,BiSe,Bi-Se,Monoclinic,12,4,0.272561399166669,0
mp-1063764,BiSe,Bi-Se,Monoclinic,12,4,0.270474174166672,0
mp-1078607,BiSe,Bi-Se,Monoclinic,14,8,0.168283112916668,0
mp-1182022,BiSe,Bi-Se,Monoclinic,14,8,0.129083205416669,0
mp-27902,BiSe,Bi-Se,Trigonal,164,12,0.0037925841666670004,1
mp-568844,BiSe,Bi-Se,Cubic,225,2,0.151179276666667,0
mp-570286,BiSe,Bi-Se,Tetragonal,139,4,0.267049231666668,0
mp-1095302,BiSe2,Bi-Se,Monoclinic,12,12,0.021139135989585,1
mp-1223757,In2Bi,Bi-In,Hexagonal,187,3,0.105810206666667,0
mp-1223979,In2Bi,Bi-In,Orthorhombic,69,3,0.104114486666667,0
mp-23188,In2Bi,Bi-In,Hexagonal,194,6,0.08222195500000101,0
mp-571172,In2Bi,Bi-In,Hexagonal,191,3,0.09039180166666201,0
mp-1184488,In3Bi,Bi-In,Cubic,221,4,0.0800298925,0
mp-1223990,In4Bi,Bi-In,Monoclinic,12,5,0.069002442999995,0
mp-23180,In5Bi3,Bi-In,Tetragonal,140,16,0.05458110312500201,0
mp-1001833,InBi,Bi-In,Cubic,216,2,0.0,1
mp-2030206,InBi,Bi-In,Tetragonal,123,4,0.048587387499999,1
mp-23313,InBi,Bi-In,Tetragonal,129,4,0.044326534999996,1
mp-569765,InBi,Bi-In,Tetragonal,129,4,0.061484857499998005,0
mp-1223901,InBi3,Bi-In,Orthorhombic,21,4,0.09994776499999601,0
mp-983237,Ga3Bi,Bi-Ga,Cubic,221,4,0.072513066875,0
mp-1018126,GaBi,Bi-Ga,Cubic,216,2,0.0,1
mp-1183974,GaBi3,Bi-Ga,Cubic,221,4,0.120689488125002,0
mp-1006059,Tl3Bi,Bi-Tl,Hexagonal,194,8,0.0,1
mp-1187502,Tl3Bi,Bi-Tl,Cubic,221,4,0.011970042499996001,1
mp-1216545,Tl3Bi,Bi-Tl,Hexagonal,187,4,0.0687627625,0
mp-1216575,Tl4Bi,Bi-Tl,Trigonal,166,5,0.026826100333337002,1
mp-30083,TlBi,Bi-Tl,Cubic,221,2,0.111888890499997,0
mp-30469,TlBi2,Bi-Tl,Hexagonal,191,3,0.029724537222229,1
mp-1187484,TlBi3,Bi-Tl,Cubic,221,4,0.09362152250000101,0
mp-985280,Co3Bi,Bi-Co,Tetragonal,139,4,0.426736236249999,0
mp-1105522,CoBi3,Bi-Co,Orthorhombic,62,16,0.047421941249999,1
