cif_filename,formula,space_group,n_atoms,n_Co,n_Bi,min_CoCo,min_BiBi,min_CoBi,volume,volume_per_atom,packing_fraction,task_id,reduced_formula,crystal_system,co_fraction,sg_number,formula_pretty,nsites,spacegroup_number,min_AB_dist,min_AA_dist,min_BB_dist,cif_present,p_stable,predicted_label,confidence_band,rank_overall,rank_shortlist
Co4_Bi4_m1_n1_z4_sg074_trial000_b9451c84af.cif,Co4Bi4,74,8,4,4,2.824237,2.824237,2.79,154.068153,19.258519,0.609595,Co4_Bi4_m1_n1_z4_sg074_trial000_b9451c84af,CoBi,Orthorhombic,0.5,74,CoBi,8,74,2.79,2.824237,2.824237,True,0.8656,stable,high stable,137,38
Co4_Bi10_m2_n5_z2_sg192_trial000_ac11bc3265.cif,Co4Bi10,192,14,4,10,2.828777,2.79,2.79,305.11088,21.793634,0.608666,Co4_Bi10_m2_n5_z2_sg192_trial000_ac11bc3265,Co2Bi5,Hexagonal,0.2857142857142857,192,Co2Bi5,14,192,2.79,2.79,2.828777,True,0.8615,stable,high stable,142,39
Co8_Bi12_m2_n3_z4_sg063_trial000_bc4b1904b9.cif,Co8Bi12,63,20,8,12,3.328598,2.79,2.844816,689.72484,34.486242,0.361061,Co8_Bi12_m2_n3_z4_sg063_trial000_bc4b1904b9,Co2Bi3,Orthorhombic,0.4,63,Co2Bi3,20,63,2.844816,2.79,3.328598,True,0.8558,stable,high stable,147,40
Co4_Bi10_m2_n5_z2_sg121_trial000_02e165d492.cif,Co4Bi10,121,14,4,10,4.475293,3.15408,2.79,447.030503,31.93075,0.415432,Co4_Bi10_m2_n5_z2_sg121_trial000_02e165d492,Co2Bi5,Tetragonal,0.2857142857142857,121,Co2Bi5,14,121,2.79,3.15408,4.475293,True,0.8467,stable,high stable,158,41
Co4_Bi6_m2_n3_z2_sg012_trial000_4a037a4292.cif,Co4Bi6,12,10,4,6,3.30843,3.113807,2.79,304.185837,30.418584,0.409343,Co4_Bi6_m2_n3_z2_sg012_trial000_4a037a4292,Co2Bi3,Monoclinic,0.4,12,Co2Bi3,10,12,2.79,3.113807,3.30843,True,0.8447,stable,high stable,160,42
Co4_Bi4_m1_n1_z4_sg163_trial000_de614e4bbe.cif,Co4Bi4,163,8,4,4,2.79,2.981534,3.053014,204.446411,25.555801,0.459383,Co4_Bi4_m1_n1_z4_sg163_trial000_de614e4bbe,CoBi,Trigonal,0.5,163,CoBi,8,163,3.053014,2.981534,2.79,True,0.8229,stable,high stable,169,43
Co4_Bi4_m1_n1_z4_sg207_trial000_02b893da76.cif,Co4Bi4,207,8,4,4,2.79,2.79,2.79,173.741112,21.717639,0.54057,Co4_Bi4_m1_n1_z4_sg207_trial000_02b893da76,CoBi,Cubic,0.5,207,CoBi,8,207,2.79,2.79,2.79,True,0.795,stable,likely stable,179,44
Co4_Bi6_m2_n3_z2_sg193_trial000_e567726072.cif,Co4Bi6,193,10,4,6,2.818334,2.818334,2.79,339.655481,33.965548,0.366596,Co4_Bi6_m2_n3_z2_sg193_trial000_e567726072,Co2Bi3,Hexagonal,0.4,193,Co2Bi3,10,193,2.79,2.818334,2.818334,True,0.7937,stable,likely stable,180,45
Co4_Bi4_m1_n1_z4_sg029_trial000_ae7d736bcc.cif,Co4Bi4,29,8,4,4,2.79,2.970587,2.931377,215.835732,26.979467,0.435142,Co4_Bi4_m1_n1_z4_sg029_trial000_ae7d736bcc,CoBi,Orthorhombic,0.5,29,CoBi,8,29,2.931377,2.970587,2.79,True,0.7877,stable,likely stable,184,46
Co4_Bi4_m1_n1_z4_sg020_trial000_65cfe0e8bc.cif,Co4Bi4,20,8,4,4,2.79,3.069219,2.81283,246.489337,30.811167,0.381027,Co4_Bi4_m1_n1_z4_sg020_trial000_65cfe0e8bc,CoBi,Orthorhombic,0.5,20,CoBi,8,20,2.81283,3.069219,2.79,True,0.7877,stable,likely stable,185,47
Co4_Bi6_m2_n3_z2_sg201_trial000_1d9ac7f71f.cif,Co4Bi6,201,10,4,6,4.556051,3.221615,2.79,267.491941,26.749194,0.465496,Co4_Bi6_m2_n3_z2_sg201_trial000_1d9ac7f71f,Co2Bi3,Cubic,0.4,201,Co2Bi3,10,201,2.79,3.221615,4.556051,True,0.7769,stable,likely stable,193,48
Co2_Bi3_m2_n3_z1_sg157_trial000_ebf6076aef.cif,Co2Bi3,157,5,2,3,2.79,2.79,2.909765,150.351078,30.070216,0.414085,Co2_Bi3_m2_n3_z1_sg157_trial000_ebf6076aef,Co2Bi3,Trigonal,0.4,157,Co2Bi3,5,157,2.909765,2.79,2.79,True,0.7759,stable,likely stable,195,49
Co8_Bi20_m2_n5_z4_sg165_trial000_f8cbe130f4.cif,Co8Bi20,165,28,8,20,5.298407,2.79,2.791906,1085.229,38.758179,0.342251,Co8_Bi20_m2_n5_z4_sg165_trial000_f8cbe130f4,Co2Bi5,Trigonal,0.2857142857142857,165,Co2Bi5,28,165,2.791906,2.79,5.298407,True,0.7705,stable,likely stable,197,50
