idx,formula,n_atoms,e_total_eV,e_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio
0,NiBi,8,-37.95353317260742,-4.744191646575928,0.013391894288361073,152.5361736808688,converged,0.5,0.020754218101501465,0.10275936126708984,False,,,,,,,,
1,Ni3Bi2,5,-24.69518280029297,-4.939036560058594,0.018971996381878853,98.9158833807507,converged,0.4,0.027736186981201172,0.09334030151367188,False,,,,,,,,
2,Ni3Bi8,11,-48.170284271240234,-4.379116751930931,0.011858290061354637,282.4605257088949,converged,0.7272727272727273,-0.07286834716796875,0.016591809012673098,True,,,,,-70.61008751509596,-27.877546773564855,0.0,0.0
3,NiBi,4,-19.352985382080078,-4.8382463455200195,0.00940770749002695,79.20399897501125,converged,0.5,-0.07330048084259033,0.008704662322998047,True,,,,,-95.61124416713687,-37.304136196134074,0.0,0.0
4,NiBi2,3,-13.466707229614258,-4.488902409871419,0.009860546328127384,78.50480771185711,converged,0.6666666666666666,-0.06033468246459961,0.04900550842285156,False,,,,,,,,
5,Ni3Bi2,20,-98.42579650878906,-4.9212898254394535,0.018530545756220818,382.7007447291728,converged,0.4,0.0454829216003418,0.11108703613281251,False,,,,,,,,
6,NiBi4,10,-42.15408706665039,-4.215408706665039,0.019884347915649414,287.34349684149464,converged,0.8,-0.05594348907470703,0.009660625457763652,True,,,,,-59.99043541099368,-15.067152522622766,0.0,0.0
7,NiBi2,6,-27.137910842895508,-4.522985140482585,0.011144266463816166,148.39136234206578,converged,0.6666666666666666,-0.09441741307576497,0.014922777811686203,True,,,,,-79.53040023220507,-21.508344248350205,0.0,0.0
8,NiBi2,12,-54.254493713378906,-4.521207809448242,0.009699203073978424,283.89551491810363,converged,0.6666666666666666,-0.09264008204142253,0.01670010884602864,True,,,,,,,,
9,NiBi,8,-38.48274230957031,-4.810342788696289,0.014917819760739803,161.73515087772313,converged,0.5,-0.04539692401885986,0.036608219146728516,False,,,,,,,,
10,NiBi2,6,-27.227447509765625,-4.5379079182942705,0.015888867899775505,144.3397546607117,converged,0.6666666666666666,-0.10934019088745117,0.0,True,,,,,-82.0916166553558,-24.682439970543758,0.0,0.0
11,Ni2Bi,12,-59.63467788696289,-4.969556490580241,0.018836600705981255,203.43337257063573,converged,0.3333333333333333,0.13176751136779785,0.18643760681152344,False,,,,,,,,
