cif_filename,formula,space_group,n_atoms,n_Co,n_Bi
Co2_Bi2_m1_n1_z2_sg017_trial000_e0c92525fd.cif,Co2Bi2,17,4,2,2
Co2_Bi2_m1_n1_z2_sg016_trial000_f04a767be0.cif,Co2Bi2,16,4,2,2
Co2_Bi2_m1_n1_z2_sg021_trial000_9626185d7c.cif,Co2Bi2,21,4,2,2
Co2_Bi2_m1_n1_z2_sg027_trial000_f29d737165.cif,Co2Bi2,27,4,2,2
Co2_Bi2_m1_n1_z2_sg026_trial000_9a0c563082.cif,Co2Bi2,26,4,2,2
Co2_Bi2_m1_n1_z2_sg031_trial000_bc0ca50423.cif,Co2Bi2,31,4,2,2
Co2_Bi2_m1_n1_z2_sg032_trial000_7eec0f3e8c.cif,Co2Bi2,32,4,2,2
Co2_Bi2_m1_n1_z2_sg034_trial000_23403bc77e.cif,Co2Bi2,34,4,2,2
Co2_Bi2_m1_n1_z2_sg038_trial000_34bc4b09f5.cif,Co2Bi2,38,4,2,2
Co2_Bi2_m1_n1_z2_sg044_trial000_876cf0a4a2.cif,Co2Bi2,44,4,2,2
Co2_Bi2_m1_n1_z2_sg035_trial000_48e1733fbc.cif,Co2Bi2,35,4,2,2
Co2_Bi2_m1_n1_z2_sg048_trial000_a8bba2b9a5.cif,Co2Bi2,48,4,2,2
Co2_Bi2_m1_n1_z2_sg049_trial000_55e18f9ab1.cif,Co2Bi2,49,4,2,2
Co2_Bi2_m1_n1_z2_sg050_trial000_772075f649.cif,Co2Bi2,50,4,2,2
Co2_Bi2_m1_n1_z2_sg051_trial000_9d675c150d.cif,Co2Bi2,51,4,2,2
Co2_Bi2_m1_n1_z2_sg055_trial000_13074fde5a.cif,Co2Bi2,55,4,2,2
Co2_Bi2_m1_n1_z2_sg058_trial000_50ba57aff1.cif,Co2Bi2,58,4,2,2
Co2_Bi2_m1_n1_z2_sg059_trial000_9c320728e2.cif,Co2Bi2,59,4,2,2
Co2_Bi2_m1_n1_z2_sg071_trial000_14f8c398c3.cif,Co2Bi2,71,4,2,2
