"candidate_id","target_system","formula","source_system","source_formula","source_material_id","prototype_label","n_atoms","initial_file_path"
"cobi_pyxtal_00037","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_18_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg018_trial000_5912dbe2a4.cif"
"cobi_pyxtal_00038","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_17_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg017_trial000_e0c92525fd.cif"
"cobi_pyxtal_00039","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_16_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg016_trial000_f04a767be0.cif"
"cobi_pyxtal_00040","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_21_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg021_trial000_9626185d7c.cif"
"cobi_pyxtal_00041","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_27_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg027_trial000_f29d737165.cif"
"cobi_pyxtal_00042","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_26_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg026_trial000_9a0c563082.cif"
"cobi_pyxtal_00043","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_31_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg031_trial000_bc0ca50423.cif"
"cobi_pyxtal_00044","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_32_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg032_trial000_7eec0f3e8c.cif"
"cobi_pyxtal_00045","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_34_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg034_trial000_23403bc77e.cif"
"cobi_pyxtal_00046","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_38_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg038_trial000_34bc4b09f5.cif"
"cobi_pyxtal_00047","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_44_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg044_trial000_876cf0a4a2.cif"
"cobi_pyxtal_00048","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_35_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg035_trial000_48e1733fbc.cif"
"cobi_pyxtal_00049","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_48_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg048_trial000_a8bba2b9a5.cif"
"cobi_pyxtal_00050","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_49_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg049_trial000_55e18f9ab1.cif"
"cobi_pyxtal_00051","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_50_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg050_trial000_772075f649.cif"
"cobi_pyxtal_00052","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_51_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg051_trial000_9d675c150d.cif"
"cobi_pyxtal_00053","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_55_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg055_trial000_13074fde5a.cif"
"cobi_pyxtal_00054","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_58_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg058_trial000_50ba57aff1.cif"
"cobi_pyxtal_00055","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_59_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg059_trial000_9c320728e2.cif"
"cobi_pyxtal_00056","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_71_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg071_trial000_14f8c398c3.cif"
"cobi_pyxtal_00057","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_82_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg082_trial000_8ee08440e2.cif"
"cobi_pyxtal_00058","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_85_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg085_trial000_909d92c5dd.cif"
"cobi_pyxtal_00059","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_87_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg087_trial000_6906bef6ab.cif"
"cobi_pyxtal_00060","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_86_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg086_trial000_efd4d9cca4.cif"
"cobi_pyxtal_00061","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_83_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg083_trial000_03ecb20f02.cif"
"cobi_pyxtal_00062","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_90_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg090_trial000_be615e5e78.cif"
"cobi_pyxtal_00063","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_93_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg093_trial000_c99de021a4.cif"
"cobi_pyxtal_00064","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_97_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg097_trial000_6087663576.cif"
