cif_filename,formula,m,n,z,space_group,trial,seed,n_Co,n_Bi,n_atoms,volume,density,packing_fraction,min_CoCo,min_BiBi,min_CoBi,fingerprint
Co1_Bi1_m1_n1_z1_sg215_trial000_3d5aa988e5.cif,Co1Bi1,1,1,1,215,0,1212850159,1,1,2,33.436493,13.305253,0.702221,,,2.790000,3d5aa988e5b1f8a6a1dc35ff96ded8d1e38ddb50
Co1_Bi1_m1_n1_z1_sg221_trial000_1e9851f49f.cif,Co1Bi1,1,1,1,221,0,2165599322,1,1,2,33.436493,13.305253,0.702221,,,2.790000,1e9851f49fcab7ec48c03a5b32e2189945b195f4
Co2_Bi2_m1_n1_z2_sg002_trial000_db61eb2ad5.cif,Co2Bi2,1,1,2,2,0,2317938940,2,2,4,84.561565,10.522061,0.555330,3.702563,3.702563,2.790000,db61eb2ad506fa88e65ba76e905378ac282892a8
Co2_Bi2_m1_n1_z2_sg005_trial000_1caa851efa.cif,Co2Bi2,1,1,2,5,0,2053070249,2,2,4,67.091532,13.261912,0.699933,2.855255,2.855255,2.790000,1caa851efa273e1d19542a6f63b379b5a7343d53
Co2_Bi2_m1_n1_z2_sg007_trial000_b09382981c.cif,Co2Bi2,1,1,2,7,0,1009750599,2,2,4,151.801105,5.861367,0.309350,3.006548,3.376114,2.790000,b09382981c7267a4d6c3f376804fa17548b302f7
Co2_Bi2_m1_n1_z2_sg008_trial000_623b029abc.cif,Co2Bi2,1,1,2,8,0,2641261415,2,2,4,117.513049,7.571602,0.399612,3.800203,3.800203,2.790000,623b029abc71fda42981a5a157f6995d22211495
Co2_Bi2_m1_n1_z2_sg006_trial000_592b4eefc4.cif,Co2Bi2,1,1,2,6,0,633590622,2,2,4,323.443431,2.750904,0.145186,2.012573,5.232822,2.790000,592b4eefc4ea4b7d0000b21eda6ebadc8926f199
Co2_Bi2_m1_n1_z2_sg013_trial000_573e544096.cif,Co2Bi2,1,1,2,13,0,2455565311,2,2,4,72.562417,12.262022,0.647161,2.043471,2.587318,2.790000,573e544096fd9252d2e734a3ab18ae499d478669
Co2_Bi2_m1_n1_z2_sg012_trial000_3d6c9e0865.cif,Co2Bi2,1,1,2,12,0,1360171986,2,2,4,90.987187,9.778981,0.516112,3.457736,3.457736,2.790000,3d6c9e0865edc6cde098ebe613c400bd3e26f893
Co2_Bi2_m1_n1_z2_sg014_trial000_a8d96e2e85.cif,Co2Bi2,1,1,2,14,0,3824330031,2,2,4,69.459037,12.809881,0.676076,3.623743,3.623743,2.790000,a8d96e2e85d484c546ce1a38f342f2fa473ddcf4
Co2_Bi2_m1_n1_z2_sg018_trial000_5912dbe2a4.cif,Co2Bi2,1,1,2,18,0,3441237277,2,2,4,50.170586,17.734734,0.935999,4.184502,2.777318,2.790000,5912dbe2a4649e51df509b26f8fdc4ee12bc602d
Co2_Bi2_m1_n1_z2_sg017_trial000_e0c92525fd.cif,Co2Bi2,1,1,2,17,0,242600695,2,2,4,369.543297,2.407734,0.127075,4.974649,3.744742,2.790000,e0c92525fd84d32afe803933987d28dcd7ed70ac
Co2_Bi2_m1_n1_z2_sg016_trial000_f04a767be0.cif,Co2Bi2,1,1,2,16,0,1695237677,2,2,4,82.423725,10.794974,0.569734,2.113235,2.371881,2.790000,f04a767be0dc10a1acdb5c96527de29e55f5c3d5
Co2_Bi2_m1_n1_z2_sg021_trial000_9626185d7c.cif,Co2Bi2,1,1,2,21,0,647272464,2,2,4,76.913242,11.568385,0.610553,3.154510,3.154510,2.790000,9626185d7cbbc39d2c0e4cb8f99417ecfecccaec
Co2_Bi2_m1_n1_z2_sg027_trial000_f29d737165.cif,Co2Bi2,1,1,2,27,0,3182603905,2,2,4,72.585138,12.258184,0.646959,2.485958,2.485958,2.790000,f29d737165606a366d46c2984b1d080c647ab322
Co2_Bi2_m1_n1_z2_sg026_trial000_9a0c563082.cif,Co2Bi2,1,1,2,26,0,1320094634,2,2,4,359.620375,2.474170,0.130581,5.374000,3.873687,2.790000,9a0c5630822eec440aa821fad8bb3ff44d103a9b
Co2_Bi2_m1_n1_z2_sg031_trial000_bc0ca50423.cif,Co2Bi2,1,1,2,31,0,3857848913,2,2,4,147.771201,6.021214,0.317786,4.190379,4.436181,2.790000,bc0ca50423ef1dfe53c83dfb6e0b04a57da9d6e4
Co2_Bi2_m1_n1_z2_sg032_trial000_7eec0f3e8c.cif,Co2Bi2,1,1,2,32,0,4120231072,2,2,4,71.274769,12.483548,0.658853,4.146609,4.146609,2.790000,7eec0f3e8ccbb0a2eb917595c2076d298bdacd4a
Co2_Bi2_m1_n1_z2_sg034_trial000_23403bc77e.cif,Co2Bi2,1,1,2,34,0,707634282,2,2,4,88.194134,10.088675,0.532457,4.147413,4.147413,2.790000,23403bc77eac340be6185449d3a07a2ad8b163db
Co2_Bi2_m1_n1_z2_sg038_trial000_34bc4b09f5.cif,Co2Bi2,1,1,2,38,0,1281955509,2,2,4,70.549595,12.611865,0.665625,2.917439,2.917439,2.790000,34bc4b09f5bb3e06e446b50bf4092928ddbf94cc
Co2_Bi2_m1_n1_z2_sg044_trial000_876cf0a4a2.cif,Co2Bi2,1,1,2,44,0,1141321710,2,2,4,115.188275,7.724414,0.407677,4.555887,4.555887,2.790000,876cf0a4a2df7ca44a20b80b070fbb0382d62207
Co2_Bi2_m1_n1_z2_sg035_trial000_48e1733fbc.cif,Co2Bi2,1,1,2,35,0,4243510730,2,2,4,175.056323,5.082718,0.268254,4.470869,4.470869,2.790000,48e1733fbc2d578567c303f2cb9ef97f057d7fab
Co2_Bi2_m1_n1_z2_sg048_trial000_a8bba2b9a5.cif,Co2Bi2,1,1,2,48,0,132422460,2,2,4,111.307275,7.993745,0.421892,4.651181,4.651181,2.790000,a8bba2b9a513e73e0c69e0ed572a897d4b271f50
Co2_Bi2_m1_n1_z2_sg049_trial000_55e18f9ab1.cif,Co2Bi2,1,1,2,49,0,3685223725,2,2,4,101.308252,8.782720,0.463532,3.046936,3.046936,2.790000,55e18f9ab1d24d10a60a530e71db091cd66ae7db
Co2_Bi2_m1_n1_z2_sg050_trial000_772075f649.cif,Co2Bi2,1,1,2,50,0,978788307,2,2,4,160.174045,5.554970,0.293179,3.797516,3.797516,2.790000,772075f649e14bfc6a47ff4ff0c575fa93fcb184
Co2_Bi2_m1_n1_z2_sg051_trial000_9d675c150d.cif,Co2Bi2,1,1,2,51,0,3625663480,2,2,4,140.488400,6.333348,0.334260,2.810007,3.615237,2.790000,9d675c150d4e085eb662527e54b889a182bf1350
Co2_Bi2_m1_n1_z2_sg055_trial000_13074fde5a.cif,Co2Bi2,1,1,2,55,0,3105794483,2,2,4,204.894934,4.342528,0.229189,4.426074,4.426074,2.790000,13074fde5aca6b50bf46aecc88b2f297357b2603
Co2_Bi2_m1_n1_z2_sg058_trial000_50ba57aff1.cif,Co2Bi2,1,1,2,58,0,2206575982,2,2,4,145.674026,6.107897,0.322361,5.044418,5.044418,2.790000,50ba57aff113fa972465aa2e29bd342b358b50a8
Co2_Bi2_m1_n1_z2_sg059_trial000_9c320728e2.cif,Co2Bi2,1,1,2,59,0,3155849999,2,2,4,359.548627,2.474664,0.130607,6.085779,6.215064,2.790000,9c320728e210f6b1486b5b50dabd03f15b8dd40e
Co2_Bi2_m1_n1_z2_sg071_trial000_14f8c398c3.cif,Co2Bi2,1,1,2,71,0,915902186,2,2,4,197.143003,4.513282,0.238201,5.133012,5.133012,2.790000,14f8c398c3e29f3639b9d1f23606ea5c24d57cf4
Co2_Bi2_m1_n1_z2_sg082_trial000_8ee08440e2.cif,Co2Bi2,1,1,2,82,0,995886988,2,2,4,127.342784,6.987141,0.368765,4.766227,4.766227,2.790000,8ee08440e2e8542c6db8892a026311edba86d6ef
Co2_Bi2_m1_n1_z2_sg085_trial000_909d92c5dd.cif,Co2Bi2,1,1,2,85,0,1180033557,2,2,4,59.979917,14.834332,0.782922,3.970897,3.920253,2.790000,909d92c5dd43dcf4ff78b7994bf36b0106832124
Co2_Bi2_m1_n1_z2_sg087_trial000_6906bef6ab.cif,Co2Bi2,1,1,2,87,0,3606875760,2,2,4,181.679353,4.897430,0.258475,4.905468,4.905468,2.790000,6906bef6ab62e9ed88993b0dd562c97190d3944b
Co2_Bi2_m1_n1_z2_sg086_trial000_efd4d9cca4.cif,Co2Bi2,1,1,2,86,0,394852352,2,2,4,90.546586,9.826566,0.518624,3.987179,3.987179,2.790000,efd4d9cca44afb154296ae4c45b5abbf5b6a490b
Co2_Bi2_m1_n1_z2_sg083_trial000_03ecb20f02.cif,Co2Bi2,1,1,2,83,0,742983590,2,2,4,225.698072,3.942267,0.208064,4.497093,4.497093,2.790000,03ecb20f02443990247c61ebedea7f03c666b286
Co2_Bi2_m1_n1_z2_sg090_trial000_be615e5e78.cif,Co2Bi2,1,1,2,90,0,453741662,2,2,4,108.012173,8.237608,0.434762,3.649415,4.130084,2.790000,be615e5e786b3f9a6b5e29fc517ba7c6d159de38
Co2_Bi2_m1_n1_z2_sg093_trial000_c99de021a4.cif,Co2Bi2,1,1,2,93,0,169544828,2,2,4,102.797554,8.655478,0.456816,1.856147,4.158226,2.790000,c99de021a4099ecf0c5cd8074190cee88c8318fe
Co2_Bi2_m1_n1_z2_sg097_trial000_6087663576.cif,Co2Bi2,1,1,2,97,0,639068630,2,2,4,330.347998,2.693408,0.142152,10.970411,10.970411,2.790000,6087663576b3546491b9fea9ebb5cf3e49752798
Co2_Bi2_m1_n1_z2_sg100_trial000_22db5cc3a0.cif,Co2Bi2,1,1,2,100,0,617665154,2,2,4,116.264928,7.652884,0.403902,3.481263,3.481263,2.790000,22db5cc3a020e223073624b25304b3c9c9d4c924
Co2_Bi2_m1_n1_z2_sg094_trial000_2115ed03ea.cif,Co2Bi2,1,1,2,94,0,196936766,2,2,4,92.449206,9.624333,0.507950,4.074317,4.074317,2.790000,2115ed03ea1ab69c40191a5e84c5624642c6d6ad
Co2_Bi2_m1_n1_z2_sg101_trial000_2076cc4a5f.cif,Co2Bi2,1,1,2,101,0,1581736063,2,2,4,134.315289,6.624428,0.349622,4.716914,4.716914,2.790000,2076cc4a5f0f0f42ba316080e9e20bc392a192b1
Co2_Bi2_m1_n1_z2_sg102_trial000_3d91063e09.cif,Co2Bi2,1,1,2,102,0,92653967,2,2,4,359.935313,2.472005,0.130467,6.161748,6.161748,2.790000,3d91063e09627df8aae4187e47782deb65af52d0
Co2_Bi2_m1_n1_z2_sg107_trial000_5d768e0231.cif,Co2Bi2,1,1,2,107,0,1639677680,2,2,4,362.264446,2.456112,0.129628,8.125007,8.125007,2.790000,5d768e02318d7adf88eaa5c8ca45b1159f1bebcf
Co2_Bi2_m1_n1_z2_sg112_trial000_cccceba1b1.cif,Co2Bi2,1,1,2,112,0,3613929962,2,2,4,131.000712,6.792039,0.358468,4.426348,2.837026,2.790000,cccceba1b165be282cfca9c3be932ebbfdfe5add
Co2_Bi2_m1_n1_z2_sg114_trial000_b8ed0aab8d.cif,Co2Bi2,1,1,2,114,0,2455013521,2,2,4,204.158764,4.358187,0.230015,5.106652,5.106652,2.790000,b8ed0aab8da64dea0bd0860c7deb88397ef301fb
