idx,formula,n_atoms,e_total_eV,e_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio
0,Co3Bi2,5,-27.30506706237793,-5.461013412475586,0.01303048525005579,86.39740619682739,converged,0.4,0.2542698860168457,0.26197401682535804,False,,,,,,,,
1,Co5Bi6,11,-56.237022399902344,-5.112456581809304,0.018892841413617134,257.3964990925007,converged,0.5454545454545454,0.12780323895541104,0.13830887187610974,False,,,,,,,,
2,CoBi,4,-20.7040958404541,-5.176023960113525,0.009345481172204018,80.93937857349215,converged,0.5,0.21268069744110107,0.22231086095174155,False,,,,,,,,
3,CoBi,12,-63.07166290283203,-5.255971908569336,0.018702661618590355,257.6204937693248,converged,0.5,0.13273274898529053,0.142362912495931,False,,,,,,,,
4,CoBi3,8,-36.13154602050781,-4.516443252563477,0.018070144578814507,219.1527870094208,converged,0.75,0.05581480264663696,0.07026004791259766,False,,,,,-58.916482137586485,-21.797630014199108,0.0,0.0
5,Co3Bi4,7,-35.43610382080078,-5.062300545828683,0.00861835852265358,149.70532271927328,converged,0.5714285714285714,0.09313365391322545,0.10413955506824313,False,,,,,-79.72989122014839,-35.706562783281626,0.0,0.0
6,Co8Bi5,13,-71.45046997070312,-5.496189997746394,0.018436696380376816,258.796328213433,converged,0.38461538461538464,0.2693361685826228,0.27674398666773087,False,,,,,,,,
7,Co2Bi3,5,-24.492958068847656,-4.898591613769531,0.0068701994605362415,118.97326893191465,converged,0.6,0.16353440284729004,0.17509059906005858,False,,,,,,,,
8,CoBi3,16,-73.38725280761719,-4.586703300476074,0.010726423934102058,432.86336225220185,converged,0.75,-0.014445245265960693,0.0,True,,,,,-61.34554398628491,-28.403834662295758,0.0,0.0
9,Co2Bi,12,-68.1793441772461,-5.681612014770508,0.014499346725642681,191.71104470885902,converged,0.3333333333333333,0.25139037768046063,0.2578104866875543,False,,,,,,,,
10,Co2Bi3,10,-49.81525802612305,-4.981525802612305,0.015282928943634033,220.25224461576735,converged,0.6,0.0806002140045166,0.09215641021728516,False,,,,,-72.43517598996544,-34.3062357172562,0.0,0.0
11,Co2Bi3,10,-49.814537048339844,-4.981453704833984,0.013957815244793892,219.8243631580732,converged,0.6,0.08067231178283692,0.09222850799560547,False,,,,,-79.75917358266648,-36.53063792725513,0.0,0.0
