prototype,formula,n_atoms,x_Bi,energy_total_eV,energy_per_atom_eV,fmax_eV_A,volume_per_atom_A3,a_A,b_A,c_A,status,n_steps,error,formation_energy_eV_atom,e_above_hull_eV_atom,stability_label
CsCl_B2,CoBi,2,0.5,-9.925100326538086,-4.962550163269043,5.580599463428371e-06,17.888555486025318,3.29509868737222,3.295098673866704,3.2950986223137355,converged,3,,0.46410465,15.221205711364746,unstable
NaCl_B1,CoBi,8,0.5,-2.906513214111328,-0.363314151763916,0.00031816744012758136,7.4153177836408295,3.9000782833603647,3.900077292060786,3.9000773107645452,max_steps_reached,300,,3.9733982,18.730499267578125,unstable
ZnS_B3,CoBi,8,0.5,63.80358123779297,7.975447654724121,0.009326445870101452,3.813339871953638,3.1246291690921923,3.1246293164356413,3.1246294056580104,converged,5,,37.328445,52.08554649353027,unstable
NiAs_B81,CoBi,4,0.5,-0.7389564514160156,-0.1847391128540039,1.490464210510254,7.08708451078629,2.713284770759365,2.717816286791977,4.4430344680744085,max_steps_reached,300,,5.0571766,19.81427764892578,unstable
FeSi_B20,CoBi,8,0.5,-40.36751174926758,-5.045938968658447,0.022577302530407906,19.17225270270312,5.352879444097644,5.352885645926085,5.352882416030431,converged,18,,-14.757101,0.0,on_hull
Cu3Au_L12,Co3Bi,4,0.25,-23.705137252807617,-5.926284313201904,9.38467201194726e-06,14.139860357942664,3.8385602399438143,3.8385603250782117,3.838560421699023,converged,4,,0.3016429,13.115169048309326,unstable
Ni3Sn_D019,Co3Bi,8,0.25,-48.69167709350586,-6.086459636688232,0.04717862606048584,15.01032585242889,8.445514910057126,5.005389212115709,3.817182762288996,converged,91,,-5.944992,6.868534088134766,unstable
Au3Cu_L12,CoBi3,4,0.75,-16.31612777709961,-4.079031944274902,5.439146207208978e-06,25.918279890944973,4.697737335563772,4.697737414500829,4.697736992020873,converged,6,,0.5463495,7.924900054931641,unstable
Sn3Ni_D019,CoBi3,8,0.75,-36.66188049316406,-4.582735061645508,0.030116621404886246,28.211124349226814,7.580223845282184,8.307220611532836,3.959291975492008,converged,75,,-4.5400887,2.8384618759155273,unstable
MoSi2_C11b,CoBi2,6,0.6666666666666666,-28.46062469482422,-4.74343744913737,0.0011290471302345395,23.56914945588729,3.257218945672267,3.2572195201763408,13.329110849187122,converged,25,,-4.5944023,5.2436650594075545,unstable
CaF2_C1,CoBi2,12,0.6666666666666666,-29.856388092041016,-2.488032341003418,15.332051277160645,27.46041561567389,6.726820272797358,6.532468132474285,7.529660677006593,max_steps_reached,300,,-5.0596566,4.778410752614342,unstable
CaF2_C1_inv,Co2Bi,12,0.3333333333333333,-69.13661193847656,-5.76138432820638,0.0342172272503376,17.066991980634157,6.59984616794352,6.207098145085251,5.162919764086784,max_steps_reached,300,,-17.084702,0.0,on_hull
CaCu5_D2d,Co5Bi,6,0.16666666666666666,-37.915855407714844,-6.319309234619141,0.003165097674354911,13.854883684285324,4.858472781529365,4.858472555380267,4.066528885241908,converged,8,,0.17570941,8.718060180544853,unstable
CaCu5_D2d_inv,CoBi5,6,0.8333333333333334,-24.69363021850586,-4.1156050364176435,0.5213666558265686,34.61321038853462,5.217225472042692,4.790678633616919,9.0753912842695,max_steps_reached,300,,0.24268596,5.161719645063082,unstable
