chemsys,entry_id,origin,formula,spg_number,spg_symbol,strukturbericht,prototype_formula,is_unique_to_nomad
Bi-Co,3dGMrulhngXyEC6ZClEgCegsWa7u,AFLOW,BiCo,225.0,Fm-3m,B1,ClNa,False
Bi-Co,3luIbLMGYLpVW0Fnj3_3sPjvifqS,AFLOW,Bi2Co,225.0,Fm-3m,C1,CaF2,False
Bi-Co,3pp9fI33zbcfB0kSXuUG8pmXhdGn,AFLOW,Bi3Co,10.0,P2/m,,,False
Bi-Co,41GLDOfYs2SYqIzTuuFteT4k3AVK,AFLOW,Bi4Co2,63.0,Cmcm,C49,Si2Zr,False
Bi-Co,45z3z4SjUTmsbznBZvUEO4Dq4Xry,OQMD,BiCo,216.0,F-43m,,,False
Bi-Co,4QkxQTX7cuW5X3-Q2dTDdXv7Rkki,OQMD,BiCo3,225.0,Fm-3m,D03,BiF3,False
Bi-Co,4TIchjCbdkvJxx0gvMSxy_sgQzxs,Miguel Marques,BiCo,225.0,Fm-3m,B1,ClNa,True
Bi-Co,4Y_D91IsfQOVY5sU8YVrbWM-PqMq,AFLOW,Bi2Co6,59.0,Pmmn,,,False
Bi-Co,4ZQqQOoknF53j9_azxFlx14yS9AK,AFLOW,Bi6Co2,59.0,Pmmn,D0a,Cu3Ti,False
Bi-Co,4fgU9JvxrRstebQprv6hGzvn3BOQ,OQMD,BiCo,221.0,Pm-3m,B2,ClCs,False
Bi-Co,4huo6klXCpmkIdGuQHSViFbkJYjU,AFLOW,Bi2Co2,74.0,Imma,,,False
Bi-Co,4r6MCI1sc98xEqRthlQRHTfOd32C,OQMD,BiCo,187.0,P-6m2,,,False
Bi-Co,4xHelFRpIQk5MSJEFKhQIN5W3EbP,AFLOW,Bi3Co,166.0,R-3m,,,False
Bi-Co,4xSwd1u5aoZMffrZSXG0OHYoCpZX,AFLOW,BiCo3,139.0,I4/mmm,D022,Al3Ti,False
Bi-Co,52Dc682BDuyjwd4WdrkH1lsiDHu5,AFLOW,Bi7Co,225.0,Fm-3m,,,False
Bi-Co,56DiOx2dhw0s_wb87rmXuDzDHcX5,AFLOW,Bi4Co2,58.0,Pnnm,,CFe2,False
Bi-Co,59JtH9DG8d_TX1SLwOiNYPvrrR1D,AFLOW,Bi8Co4,205.0,Pa-3,C2,FeS2,False
Bi-Co,5EZTKbH_Ztj9b-FMLj2Hb4C1r0K_,AFLOW,Bi2Co4,140.0,I4/mcm,C16,Al2Cu,False
Bi-Co,5Lr67K7PulWKt4y_10vDy-B8mWLZ,AFLOW,BiCo,216.0,F-43m,B3,SZn,False
Bi-Co,5PQcyEdA58d1w69Irs476SY5bJnv,OQMD,BiCo,187.0,P-6m2,,,False
Bi-Co,5_ix0KKeKRsTLlKj5gPNxY9jZDXx,AFLOW,BiCo7,225.0,Fm-3m,,Ca7Ge,False
Bi-Co,5bBAkMCKVvLMcKXquk9q0sKOaiMC,AFLOW,Bi2Co4,12.0,C2/m,,,False
Bi-Co,5bCq5TnTFHLrs507ApBLAcKU5EO1,AFLOW,BiCo3,123.0,P4/mmm,,,False
Bi-Co,5bwpBBQbpvU0Y54AQe6FGPBcgh3-,AFLOW,Bi2Co2,74.0,Imma,,,False
Bi-Co,5c7bG6p6j8o_arWJF8jlsLXEnO-7,OQMD,Bi3Co,225.0,Fm-3m,,,False
Bi-Co,5e3YBR0fRHGoGD9rqzP5oMy-D1Jt,OQMD,BiCo,166.0,R-3m,L11,CuPt,False
Bi-Co,5iuaW1JMIIZY9ANStPyDAiTqR-75,AFLOW,Bi2Co6,63.0,Cmcm,,,False
Bi-Co,5pKpetRCjcfXSuwb08JOW_eozHZ6,AFLOW,Bi4Co12,62.0,Pnma,D011,CFe3,False
Bi-Co,5uTgYdlwnKjUKb-ggL-u3Os12i52,OQMD,BiCo,166.0,R-3m,L11,CuPt,False
Bi-Co,61mwmjt3mdcXVvm4dAFxtuYFkeaT,OQMD,BiCo,166.0,R-3m,L11,CuPt,False
Bi-Co,69rJZe5NQqH5MzpC0vt2u-AqF4Wf,AFLOW,Bi4Co2,12.0,C2/m,,,False
Bi-Co,6DRRx0qeYTIfNBXJpgtT1zKTfwPm,OQMD,Bi3Co,225.0,Fm-3m,,,False
Bi-Co,6JSC8BnnwyCiKI1hqLZOAl3YrhCR,AFLOW,Bi3Co,65.0,Cmmm,L13,CdPt3,False
Bi-Co,6QeWAJv9G1rRSG-lxRllO6RDt4yv,OQMD,BiCo,221.0,Pm-3m,B2,ClCs,False
Bi-Co,6SdR2u9kbvdbKrXpO8gfRQ6TMm1m,AFLOW,BiCo5,216.0,F-43m,C15b,AuBe5,False
Bi-Co,6UqzY3jzYwYFFvkgfg29hzuooGC8,AFLOW,Bi2Co4,63.0,Cmcm,,,False
Bi-Co,6VWMZJgrUlWcJBcSYdmRC5Q0Al4F,AFLOW,Bi4Co2,140.0,I4/mcm,C16,Al2Cu,False
Bi-Co,6XhsHj-zsagCLcW8e2fo4LW-CVxL,OQMD,Bi6Co2,,,,,False
Bi-Co,6sIIRPAmCcLDHsYvG_tHcKUYeM54,AFLOW,Bi2Co2,129.0,P4/nmm,B11,CuTi,False
Bi-Co,76KFnEcNlD39A1veyxQ57DZMJG3_,AFLOW,Bi2Co2,166.0,R-3m,,,False
Bi-Co,76pkpDCIhb7lfDpyRKlyO3Ub0cMd,AFLOW,BiCo3,221.0,Pm-3m,L12,AuCu3,False
Bi-Co,79KX2UbsLoZONfAWP175JoHKCWZ7,OQMD,Bi2Co2,186.0,P6_3mc,B4,SZn,False
Bi-Co,7CfskMjIoVDTtLG62jFvbq4VyUfm,AFLOW,Bi16Co4,217.0,I-43m,,,False
Bi-Co,7JE-h3hJjyjM9aKV1YCb2GCYjOGm,AFLOW,BiCo3,166.0,R-3m,,,False
Bi-Co,7_iX-aglzZq_-wS_L-emG7iqtLT2,AFLOW,BiCo4,87.0,I4/m,D1a,MoNi4,False
Bi-Co,7hBxGCLpCANEoqLErosMRXYhCVAf,OQMD,Bi4Co6,167.0,R-3c,D51,Al2O3,False
Bi-Co,7jQRM6ur7DrFWHeI5OfQFz1QmCsd,AFLOW,Bi3Co4,191.0,P6/mmm,,,False
Bi-Co,7uaPMhI-FdBmM1pX8Y7OOJMkRcir,AFLOW,Bi3Co,166.0,R-3m,,,False
Bi-Co,7vt0FREXBJoHgvL_w0Ds0zfHppKi,AFLOW,Bi2Co2,63.0,Cmcm,B33,BCr,False
Bi-Co,8COr62lpLMZnPwWcbmif0siES-2l,AFLOW,Bi3Co,25.0,Pmm2,,,False
Bi-Co,8D_0mfaakOkgzkpZfIdLWld1ntvP,AFLOW,Bi2Co2,129.0,P4/nmm,B11,CuTi,False
Bi-Co,8J8HGaXduTuXjaRH-Fbuf4wF5zHV,OQMD,BiCo,225.0,Fm-3m,B1,ClNa,False
Bi-Co,8OcrmFWDu3GDnoAag33t59DZlhOC,AFLOW,Bi4Co3,191.0,P6/mmm,,,False
Bi-Co,8TJ3ykB4J8tgrqIjuZMNXFFkPp9K,AFLOW,Bi6Co2,63.0,Cmcm,,,False
Bi-Co,8o8kFcirB4f7AFUn3LbOgoAiOZAP,AFLOW,Bi5Co,38.0,Amm2,,,False
Bi-Co,8qEIMlDJSjr7QasWS2H1OoWdNdtn,AFLOW,Bi4Co4,198.0,P2_13,B20,FeSi,False
Bi-Co,8sXli9BovnFVTYt-DsV9959q85Lo,OQMD,BiCo3,225.0,Fm-3m,D03,BiF3,False
Bi-Co,98nODy19Lpgee-hAVt3afSZK21bg,AFLOW,Bi2Co,123.0,P4/mmm,,,False
Bi-Co,9AB-zePodJ6r-8UG2MGQKDnZhLPm,AFLOW,Bi3Co5,65.0,Cmmm,,,False
Bi-Co,9ARirgON3xcowkopewA0Gx2fHsRq,AFLOW,Bi4Co2,63.0,Cmcm,C49,Si2Zr,False
Bi-Co,9C3QDVsX08kCIc7RhDac_9Rx6yvX,AFLOW,Bi2Co4,227.0,Fd-3m,C15,Cu2Mg,False
Bi-Co,9Ha1o_ACA4DxYIUW4ddju6BVzLaz,AFLOW,Bi18Co6,194.0,P6_3/mmc,,,False
Bi-Co,9SzBxRTweAQk8-TCgyzfhh8z-UTa,AFLOW,Bi2Co2,59.0,Pmmn,,CuTe,False
Bi-Co,9eTun3YPz8bfd4R9CGeYKgw725Qu,OQMD,Bi3Co,221.0,Pm-3m,L12,AuCu3,False
Bi-Co,9iDy8dlBH2USNjwiog5n9ii8-ZJ_,Miguel Marques,BiCo,194.0,P6_3/mmc,Bk,BN,True
Bi-Co,9s0uTtGL0Wyq3mNKMqQkvzET5v-H,OQMD,BiCo3,139.0,I4/mmm,D022,Al3Ti,False
Bi-Co,9uqCmCfQG0ayZrHkPuJjHulYbUGy,AFLOW,BiCo3,123.0,P4/mmm,,,False
