chemsys,entry_id,origin,formula,spg_number,spg_symbol,strukturbericht,prototype_formula,is_unique_to_nomad
Co-Sb,4-kXYsTfn7r8H0gckSH4itR3nwDS,OQMD,Co4Sb12,204.0,Im-3,D02,As3Co,False
Co-Sb,43AyFDpPn9si5gCAhpgmQ6nNC8rW,Miguel Marques,CoSb3,63.0,Cmcm,,,True
Co-Sb,44PxnwpzcaIw9qEdoNbpTUdp9a1A,AFLOW,Co4Sb2,8.0,Cm,,,False
Co-Sb,4ZNvi452LpHg4FYGsRgwaN0FarWN,AFLOW,Co3Sb,166.0,R-3m,,,False
Co-Sb,4_KnU9zBjT01snieUpSl3wSBtQF2,Miguel Marques,Co2Sb,139.0,I4/mmm,C11b,MoSi2,True
Co-Sb,4afxd6T-erpd0tf9pMksC7mkrbjT,Miguel Marques,Co3Sb,123.0,P4/mmm,,,True
Co-Sb,4keQWpqvgWLedQuwcotGuwwk3w_N,Miguel Marques,CoSb,176.0,P6_3/m,,,True
Co-Sb,51P111kQ3itggAeLevixMr5dWqVT,OQMD,CoSb3,139.0,I4/mmm,,,False
Co-Sb,5QmWjpcwWVrUzsOpt1OfmkEVxGkD,Miguel Marques,Co3Sb5,2.0,P-1,,,True
Co-Sb,5TdrSiK3NRM_o2YcfP0D8In-tHEc,Miguel Marques,CoSb,38.0,Amm2,,,True
Co-Sb,5TmPYsJKD_iZIVY9bJQfi2C0l6MG,AFLOW,Co4Sb12,204.0,Im-3,D02,As3Co,False
Co-Sb,5bZtJl70XBq9dUVJ4AoumWh_OBET,OQMD,Co3Sb,221.0,Pm-3m,L12,AuCu3,False
Co-Sb,5cc5CX0evOWFhe8a3N10b6YoMpBt,OQMD,CoSb3,225.0,Fm-3m,,,False
Co-Sb,5g9PKv8MBPD63xqdJSVMX3NaNdTN,AFLOW,Co2Sb,164.0,P-3m1,C6,CdI2,False
Co-Sb,5k7Xpk_rzYt9MmKVCKESCVRwEkVD,Miguel Marques,CoSb,187.0,P-6m2,Bh,CW,True
Co-Sb,5ns0ACm1U0B2W4kpujeosOHG-_7i,Thomas Purcell,Co4Sb12,204.0,Im-3,D02,As3Co,True
Co-Sb,63SuKA6eERRTSrSSk4YtKhHxVkcp,AFLOW,Co6Sb2,194.0,P6_3/mmc,D019,Ni3Sn,False
Co-Sb,697_W1x6wtVmlpptePjzrroNVmSZ,Miguel Marques,CoSb3,63.0,Cmcm,,,True
Co-Sb,6Kbf9iUNgn1bufSaR-L4xV61WG68,Materials Project,CoSb,194.0,P6_3/mmc,B81,AsNi,False
Co-Sb,6Lk6N8wpBcMdPJQL3LPexxEyWUcM,OQMD,CoSb3,225.0,Fm-3m,,,False
Co-Sb,6MzI27-ZffF5LWM4MVbt7OrUc0cP,AFLOW,Co3Sb,10.0,P2/m,,,False
Co-Sb,6PWDsi_w5fz7anEPP3Fn1cIQOxLA,Materials Project,CoSb2,14.0,P2_1/c,C43,O2Zr,False
Co-Sb,6YXxcSCpv7jev9ioDOjcqmBK4mRG,Miguel Marques,Co3Sb2,164.0,P-3m1,D513,Al3Ni2,True
Co-Sb,6cWjA-qvMz9xxDdmrcUmxvD3an9M,Miguel Marques,CoSb3,229.0,Im-3m,,H3S,True
Co-Sb,6ozaNTo5QmI8gsKW13ITemwreD_E,AFLOW,Co4Sb2,12.0,C2/m,,,False
Co-Sb,6qI0kqjAHgOGlkcO1130eNl7oJaQ,AFLOW,Co2Sb,225.0,Fm-3m,C1,CaF2,False
Co-Sb,6xizc8SiIkAJf0GMgeaF0L31_UZX,AFLOW,Co3Sb,166.0,R-3m,,,False
Co-Sb,7-QDg3W_IC1Qgs1B8aOFnvDTypeF,Miguel Marques,Co3Sb,194.0,P6_3/mmc,D019,Ni3Sn,True
Co-Sb,73W20xlCU_8wxJML_p_RTkwrwSsz,Materials Project,CoSb,194.0,P6_3/mmc,B81,AsNi,False
Co-Sb,786rUEkCQ0DOn0pe_l2HXU_imxH-,AFLOW,CoSb3,221.0,Pm-3m,L12,AuCu3,False
Co-Sb,79hy6kqQzyAGKqhenIOszgzdKQlh,AFLOW,Co2Sb,139.0,I4/mmm,C11b,MoSi2,False
Co-Sb,79xtzhiAKyeHiSw3xpZjmuIbSm_Y,AFLOW,Co2Sb,139.0,I4/mmm,C11b,MoSi2,False
Co-Sb,7G7mrdjO2SW290seddDnXVfJ2ITN,OQMD,Co3Sb,225.0,Fm-3m,D03,BiF3,False
Co-Sb,7HbM-4KMaUMxjRrP7WvYuzTH0we6,Thomas Purcell,Co4Sb12,204.0,Im-3,D02,As3Co,True
Co-Sb,7IXfMfrTlTwaXPiODMppEdwx2EiT,AFLOW,Co4Sb5,139.0,I4/mmm,,V4Zn5,False
Co-Sb,7SVhaDMp3_bNxgRzNHcQJYLVCusS,Thomas Purcell,Co4Sb12,204.0,Im-3,D02,As3Co,True
Co-Sb,7bJuC01huNzZdjWZ1Tcd3V9NSLQe,Binyam Gebre,Co8Sb24,204.0,Im-3,D02,As3Co,True
Co-Sb,7clnCXqs1ZWbdrO5f9WR3otcnYEp,AFLOW,Co3Sb,187.0,P-6m2,,,False
Co-Sb,7dYzjqpfjJWdEIBLEaIU83AOl4i7,AFLOW,CoSb3,65.0,Cmmm,L13,CdPt3,False
Co-Sb,82SVtk5aTwqIy-BGl7R6BhkiH7nc,AFLOW,Co16Sb4,217.0,I-43m,,,False
Co-Sb,82oIajlRo1jlQllls89xC9GRklUE,AFLOW,Co2Sb,191.0,P6/mmm,C32,AlB2,False
Co-Sb,853YmE9GrOdzm7jZdojiSUBoSTVD,AFLOW,Co2Sb2,63.0,Cmcm,B33,BCr,False
Co-Sb,86mo7lLYOPZfcD40OShptkmQIkOy,Thomas Purcell,Co4Sb12,204.0,Im-3,D02,As3Co,True
Co-Sb,8KtVt8dFy9b3plMlBWrujD3Md4IO,Miguel Marques,CoSb,38.0,Amm2,,,True
Co-Sb,8LElpzTK_VxJJGAzi09fuBx3_B7l,Miguel Marques,Co3Sb,166.0,R-3m,,,True
Co-Sb,8Olk6nAE5gFJeSYnbqHy7rvZjmVY,Miguel Marques,Co5Sb,38.0,Amm2,,,True
Co-Sb,8bHvPy-nadqg-YS_q7uxjBwOgllF,AFLOW,Co3Sb,123.0,P4/mmm,L60,CuTi3,False
Co-Sb,8g6S1qiTXs3w-0BkOwUnP1kv4NJJ,AFLOW,Co3Sb,65.0,Cmmm,,,False
Co-Sb,8rWJqwDYOVSLXGVSwZ0bhWAhfFbq,Thomas Purcell,Co4Sb12,204.0,Im-3,D02,As3Co,True
Co-Sb,9-S476qATbcTY-gZYkE8Ov5xCDnU,AFLOW,Co2Sb4,63.0,Cmcm,C49,Si2Zr,False
Co-Sb,9-uzYY7x32b1xHlOZIPLLR1z2M0M,AFLOW,Co4Sb8,205.0,Pa-3,C2,FeS2,False
Co-Sb,96wV9RcLzO2uci89OD7Kqh_NwdSz,Miguel Marques,CoSb3,204.0,Im-3,D02,As3Co,True
Co-Sb,99I39NwYDsgdWXleOEFi7WOAeF4R,AFLOW,Co2Sb2,129.0,P4/nmm,B11,CuTi,False
Co-Sb,9DHMgGi37B4co7h8ekyjhgl7l4GH,Miguel Marques,CoSb2,58.0,Pnnm,,CFe2,True
Co-Sb,9Uz53DmFfYiq8s4hlbNcSsff7Zjp,AFLOW,Co2Sb4,63.0,Cmcm,C49,Si2Zr,False
Co-Sb,9WM9CnCvSV9ev3c3Zj8HOKxEojSQ,AFLOW,CoSb3,229.0,Im-3m,,H3S,False
Co-Sb,9_PhEsJlbLbrx2O5GtMOn6w0Q65y,AFLOW,CoSb3,225.0,Fm-3m,,,False
Co-Sb,9h9bYJEHZFYTM8npdO67wRRF9JcZ,OQMD,Co4Sb12,204.0,Im-3,D02,As3Co,False
Co-Sb,9jfpYVOP6vyMcv-YzabuinU8DLmc,Thomas Purcell,Co4Sb12,204.0,Im-3,D02,As3Co,True
Co-Sb,9kTs86Wj5ND2K4ZgK1vPuNUZaT2i,Miguel Marques,CoSb,129.0,P4/nmm,B11,CuTi,True
Co-Sb,9psq8JlNSHykeDqxdCR8h90xuDtg,Miguel Marques,Co3Sb,194.0,P6_3/mmc,D019,Ni3Sn,True
Co-Sb,9rxx05RTSMAG7ItIpKwh707dsYcT,AFLOW,Co12Sb17,217.0,I-43m,,,False
Co-Sb,A-5F7WoiVd8eCqXIjH_zumcmEhQA,OQMD,Co2Sb2,186.0,P6_3mc,B4,SZn,False
Co-Sb,A2X3DgTnLchnn3MX-9ofzebF_ikn,OQMD,CoSb,166.0,R-3m,L11,CuPt,False
Co-Sb,A86tuWaN9WUbRgi4Z7hDRXtIh9Yp,OQMD,Co4Sb6,167.0,R-3c,D51,Al2O3,False
Co-Sb,A9542p7pjbuGf6moQe_iqPe1qJKu,Thomas Purcell,Co64Sb192,,,,,True
Co-Sb,AEStEm4_bLu4cl5UYSDBmq3VgkMa,AFLOW,Co6Sb6,164.0,P-3m1,,,False
Co-Sb,AFnS4_mvmXlYF7AalOfLmfppF-nX,AFLOW,Co3Sb,25.0,Pmm2,,,False
Co-Sb,AKOSYhAN6boUW8GLAVHkiYTTFxj4,OQMD,Co2Sb2,186.0,P6_3mc,B4,SZn,False
Co-Sb,AdFZfoQ7mTtrELuiHGQ9aHZISZDx,Miguel Marques,Co3Sb,194.0,P6_3/mmc,D019,Ni3Sn,True
Co-Sb,AfsFAjJd8dq11lGIezGWLsQFquL3,Miguel Marques,Co3Sb,194.0,P6_3/mmc,D019,Ni3Sn,True
Co-Sb,ArbcD7Q5oWXd3EySW8cY2GLXICvJ,Miguel Marques,Co3Sb5,2.0,P-1,,,True
Co-Sb,AvNFskCzE4Ufoq5c8pW4QIM1qX8e,Miguel Marques,CoSb3,204.0,Im-3,D02,As3Co,True
Co-Sb,BCAYWO3CklDY7adUc87upoThfDET,Thomas Purcell,Co4Sb12,204.0,Im-3,D02,As3Co,True
Co-Sb,BH5zRAPnIUM-EadcwtMlGb3p79qd,Materials Project,CoSb,194.0,P6_3/mmc,B81,AsNi,False
Co-Sb,BZfKKrpmU7hfj8pqwjsuyLueAcCR,Miguel Marques,CoSb2,139.0,I4/mmm,C11b,MoSi2,True
Co-Sb,Bjqr3DnPYz5FPK2Dhd7UO1P4DDtj,OQMD,Co2Sb4,58.0,Pnnm,,CFe2,False
Co-Sb,C3AF4lG46oJl7EE0lrOpp-h468XC,OQMD,Co2Sb2,194.0,P6_3/mmc,B81,AsNi,False
Co-Sb,CAfGcOeCLqe4ZluAE_0yPOMNhNs0,AFLOW,CoSb2,139.0,I4/mmm,C11b,MoSi2,False
Co-Sb,CQhImALOzVvXyJ27dDm1NRPMQtJT,Miguel Marques,Co3Sb,166.0,R-3m,,,True
Co-Sb,DK76ZYZWR8t9kxV2kLwq8T5OSW5j,OQMD,Co3Sb,225.0,Fm-3m,D03,BiF3,False
Co-Sb,DRWYoC4q2SA7wdiKe0Ce_PCJsMxB,Miguel Marques,CoSb2,141.0,I4_1/amd,C5,O2Ti,True
Co-Sb,DTZqa2Nx0PyCXzX3kxw-fglwoYa3,OQMD,CoSb,221.0,Pm-3m,B2,ClCs,False
Co-Sb,DXXUqnpomIEurOjE130s2Hxe-bBG,Miguel Marques,CoSb2,139.0,I4/mmm,C11b,MoSi2,True
Co-Sb,Da_q0ICY3E_FgtRiLXoV26M1PcKi,Thomas Purcell,Co64Sb192,,,,,True
Co-Sb,DhZH9j0WYRaduJsWduUBuZxClodg,AFLOW,Co2Sb4,12.0,C2/m,,,False
Co-Sb,E4YfcEtAN7SqH6ZPZV0OOzMBEC6s,Miguel Marques,Co3Sb,221.0,Pm-3m,D09,O3Re,True
Co-Sb,EBGrP8-0JtdjBIQ1FyI554vI2yLv,AFLOW,Co6Sb6,166.0,R-3m,,,False
Co-Sb,EC_aorSBUkq1AhCek8CQYe1kGoCl,OQMD,Co4Sb6,167.0,R-3c,D51,Al2O3,False
Co-Sb,EI3K091oxICtNzk2yxFLGLC9pBTG,OQMD,Co3Sb,225.0,Fm-3m,D03,BiF3,False
Co-Sb,EJ65GCQSO3aD3WHWhacKuP5K_2Tg,Miguel Marques,Co3Sb,123.0,P4/mmm,,,True
Co-Sb,ERUWwwa_MOmPOJkvUGLJWz-CRDjr,AFLOW,CoSb2,164.0,P-3m1,C6,CdI2,False
Co-Sb,ESEXPLqgqdHuQ73vgjrq8kMuhbYl,Akhil S nair,Co2Sb,194.0,P6_3/mmc,B82,InNi2,True
Co-Sb,EkbqDuNIlwnfrWNtyLVdLuqr9ppn,Miguel Marques,Co3Sb,123.0,P4/mmm,,,True
Co-Sb,EnpsiiDyHLin5TcbCfu7YmX4To4q,OQMD,Co3Sb,139.0,I4/mmm,D022,Al3Ti,False
Co-Sb,Ex4v6gYShCfLVf172GNChM0RNXdA,Miguel Marques,CoSb,129.0,P4/nmm,B11,CuTi,True
Co-Sb,FN3avof4hSMWx0HQvuTkGFFzoAxk,AFLOW,CoSb3,65.0,Cmmm,L13,CdPt3,False
Co-Sb,FNieYVX1y2TwNrw2y6azl6cLox7o,AFLOW,Co3Sb,187.0,P-6m2,,,False
Co-Sb,FOImuuK6mbY0YZxrKG9ENopuzVdZ,AFLOW,Co2Sb,71.0,Immm,,MoPt2,False
Co-Sb,FU1TvjDHLNL2y43Fc1I-7lD6PDfu,Miguel Marques,CoSb,8.0,Cm,,,True
Co-Sb,FgUkSLDiY2z90coRpmB5pcUxc4By,Materials Project,CoSb2,14.0,P2_1/c,C43,O2Zr,False
Co-Sb,FneNa9Zxy1zdKVvgCV7VP4p63xnh,AFLOW,Co2Sb2,164.0,P-3m1,,,False
Co-Sb,FoTlKTUR1WzKZzkD-ABD5qwdD0bn,OQMD,Co2Sb2,186.0,P6_3mc,B4,SZn,False
Co-Sb,Fok0BzigCp9lj9StDQulYaM2SO7Z,AFLOW,CoSb,166.0,R-3m,L11,CuPt,False
Co-Sb,FotcIxMfSwdMkJmCXC-HUwF6KEwh,AFLOW,Co3Sb,65.0,Cmmm,,,False
Co-Sb,FyfkPitXlxZqmdKBksJw_V46N_6F,AFLOW,CoSb3,187.0,P-6m2,,NRe3,False
Co-Sb,Fz52I5_TMtRaCdqF8KhmITOGCG9x,AFLOW,Co3Sb,225.0,Fm-3m,D03,BiF3,False
Co-Sb,G0EfaTmwkMXWTnGb3nylEY54xa_L,Thomas Purcell,Co64Sb192,,,,,True
Co-Sb,G2ZGBESZP79KD_XdQ4MdFyeLj9jH,AFLOW,Co3Sb2,166.0,R-3m,C33,Bi2Te3,False
Co-Sb,G5GHBjcatSLrAIkgjvgi1Q8QwHYz,OQMD,Co2Sb2,51.0,Pmma,B19,AuCd,False
Co-Sb,GAlt2EVxJ6OxmwQ4dybh5-1Xm2R1,Miguel Marques,Co3Sb,223.0,Pm-3n,A15,Cr3Si,True
Co-Sb,GB2cjmTkoiJARRbpxIw_xlr75aRN,Thomas Purcell,Co4Sb12,204.0,Im-3,D02,As3Co,True
Co-Sb,GBekUUJWkwIaad9ckBJgCrzOGz07,Miguel Marques,CoSb2,141.0,I4_1/amd,C5,O2Ti,True
Co-Sb,GRWsfoJ9r7tjAsltNQKktQT0RDZK,Thomas Purcell,Co64Sb192,,,,,True
Co-Sb,GaKwZs_9-zYzisk9i0ZLO3CpjRaE,AFLOW,Co2Sb2,186.0,P6_3mc,B4,SZn,False
Co-Sb,GgBQ7tIeCU4WENDjNlmdNKOYpku8,AFLOW,Co2Sb2,129.0,P4/nmm,B10,OPb,False
Co-Sb,GkIT9EKcmWsBBLFvCIQ3mSTFzT0l,Miguel Marques,CoSb3,187.0,P-6m2,,NRe3,True
Co-Sb,HE0g9f0xQuSvVIR9M14ZJCiKLgp_,AFLOW,Co5Sb,38.0,Amm2,,,False
Co-Sb,HK-oMRxyLbYmTF2j23rZ6D_zrlyT,Miguel Marques,Co3Sb,123.0,P4/mmm,,,True
Co-Sb,HRFwykosPjoob0gB5DrJGY-SzNB_,AFLOW,Co4Sb,139.0,I4/mmm,D13,Al4Ba,False
Co-Sb,HgxwJxj2G6QK30d2uNu69JojNXnE,AFLOW,CoSb,187.0,P-6m2,Bh,CW,False
Co-Sb,HrCmZdnNo4CLwrSMkpHPjDWB8VY1,Miguel Marques,CoSb3,229.0,Im-3m,,H3S,True
Co-Sb,HsA0jS7Zseam-9UtOcx7x-PPV9bk,AFLOW,Co2Sb2,59.0,Pmmn,,CuTe,False
Co-Sb,Huka0XG4jcyanZxFEzFaUEpx2WsJ,Miguel Marques,CoSb,198.0,P2_13,B20,FeSi,True
Co-Sb,Hv_Nx8ZcRHYznzJ1Vcy1a20IcmLk,AFLOW,Co6Sb2,63.0,Cmcm,,,False
Co-Sb,HyEwD_TBc6_I0qHf_EVGzEBBRTLS,Miguel Marques,CoSb2,14.0,P2_1/c,C43,O2Zr,True
Co-Sb,IFlU4KoS8D8xlK3s0gDuKHl9YTe8,OQMD,CoSb,221.0,Pm-3m,B2,ClCs,False
Co-Sb,IHh8-L75E3gwUWarXi6_tY2jXoAc,Miguel Marques,Co3Sb,223.0,Pm-3n,A15,Cr3Si,True
Co-Sb,IJJKILTRmMxxbVEUN6phgXPlo0o6,Thomas Purcell,Co4Sb12,204.0,Im-3,D02,As3Co,True
Co-Sb,Ib5DGEXMmhvFA0gPdGzPn-ku2gfQ,Thomas Purcell,Co4Sb12,204.0,Im-3,D02,As3Co,True
Co-Sb,IgJz6W1pQwnnzWMGTI9hjTdKTDDE,AFLOW,Co8Sb4,194.0,P6_3/mmc,C14,MgZn2,False
Co-Sb,IxQhndyVJf0p3N6rmLuQ-3L8TxhR,Thomas Purcell,Co8Sb24,204.0,Im-3,D02,As3Co,True
Co-Sb,J2b3Cqs8u7PTW6PKXaL9zaU15dbH,AFLOW,Co6Sb18,59.0,Pmmn,,,False
Co-Sb,J5FBuhhP7jWweDSAMq4G-kJ3gWWK,AFLOW,CoSb3,71.0,Immm,,,False
Co-Sb,J9MrtB6NR9ZL90AVgtMW57C4suAq,AFLOW,CoSb2,225.0,Fm-3m,C1,CaF2,False
Co-Sb,JArrWu4H3IbK6XeNKUD6L5OEuW2n,AFLOW,Co4Sb2,194.0,P6_3/mmc,,CaIn2,False
Co-Sb,JDXR5b6y-7KLwRTeI5LA1itaxNXL,Miguel Marques,Co3Sb,59.0,Pmmn,,,True
Co-Sb,JQusGVX51HlFkRJ6uVat1T4R-jwT,OQMD,Co2Sb2,194.0,P6_3/mmc,B81,AsNi,False
Co-Sb,Ja_TjpxlIgUW1sbRfF4KfDMRvX_p,Miguel Marques,Co5Sb,38.0,Amm2,,,True
Co-Sb,JeVyuZICuCPynHd77b6-Y8Nx5mMK,AFLOW,Co6Sb18,59.0,Pmmn,,,False
Co-Sb,JfJIMjVdJr6kZ0hGJ8tI22POHVEo,AFLOW,Co3Sb,221.0,Pm-3m,D09,O3Re,False
Co-Sb,JisZYmIcF487RCLmhqfL-aqAlrk4,AFLOW,Co16Sb8,194.0,P6_3/mmc,C36,MgNi2,False
Co-Sb,JrgCSPEmL99qUGWEzt9RKo4Mxvnc,AFLOW,CoSb2,164.0,P-3m1,C6,CdI2,False
Co-Sb,JwOuRCt4KHga2ydqtARXDwdAe7-g,AFLOW,Co2Sb2,141.0,I4_1/amd,"""40""",NbP,False
Co-Sb,JzFQP-iUOR8kubWy6GLUlwFcJBiH,AFLOW,Co2Sb2,129.0,P4/nmm,B11,CuTi,False
Co-Sb,KCy9IsbRFXhq7ls3sh5hQli_L_HH,OQMD,Co3Sb,221.0,Pm-3m,L12,AuCu3,False
Co-Sb,KDbWyddS6CYSUP2b0TvpOapji5dF,OQMD,Co4Sb2,136.0,P4_2/mnm,C4,O2Ti,False
Co-Sb,KIa9uplkUrD1jLel1kyKNqZSThbs,AFLOW,CoSb3,25.0,Pmm2,,,False
Co-Sb,KOvkaHMPz_-hXZ8A3gxSSKP-Djvz,AFLOW,CoSb,187.0,P-6m2,Bh,CW,False
Co-Sb,KPlSj1cBnB4c_pCybRCztNzeo0Ti,OQMD,Co2Sb2,194.0,P6_3/mmc,B81,AsNi,False
Co-Sb,KXiktMHgfCZeTQhvWXmRC5BSHxpU,Miguel Marques,CoSb2,14.0,P2_1/c,C43,O2Zr,True
Co-Sb,KZdr_Gvc35BwMyVV7l3tYDyrIcu7,AFLOW,Co2Sb2,166.0,R-3m,,,False
Co-Sb,KeNpTqcay358m-OayXo1tzTFvx0X,Miguel Marques,Co3Sb,59.0,Pmmn,,,True
Co-Sb,KoS_Cmlr2oDuWpgaCtZe1yznBfe_,AFLOW,Co8Sb4,205.0,Pa-3,C2,FeS2,False
Co-Sb,Kt4XPMEAG2Xu5k2l7bMO5_UCHRpi,AFLOW,CoSb3,123.0,P4/mmm,,,False
Co-Sb,LA4IadaKNTatg8fcbRWg1LB6KksS,Miguel Marques,CoSb,176.0,P6_3/m,,,True
Co-Sb,LCQbAvtUBz71J-Dlpzx1LZmLBanA,AFLOW,Co3Sb,44.0,Imm2,,,False
Co-Sb,LGYliG8F7c5gapWlSQV8eejfQUZC,AFLOW,CoSb5,65.0,Cmmm,,,False
Co-Sb,LY14lG_RZ8bst18SI9gKzyri7JOY,AFLOW,Co2Sb4,227.0,Fd-3m,C15,Cu2Mg,False
Co-Sb,L_8NQS4qUe2SMqr6wNb7baDQUsae,OQMD,Co2Sb6,194.0,P6_3/mmc,D019,Ni3Sn,False
Co-Sb,LeF_l7pfOk_MDBBn6qKNq1B-dPNF,AFLOW,Co4Sb12,62.0,Pnma,D011,CFe3,False
Co-Sb,Lf2Jc-oiv9ArnMzoVtL7SicvJ3rq,OQMD,CoSb,225.0,Fm-3m,B1,ClNa,False
Co-Sb,Ln_457Jm7JixV8rep-ZK9m_3wWU1,Miguel Marques,Co3Sb,194.0,P6_3/mmc,D019,Ni3Sn,True
Co-Sb,LnpAr5u2HgC6kLKb8cceEFJmPguw,Miguel Marques,CoSb,221.0,Pm-3m,B2,ClCs,True
Co-Sb,LyARYnww48SMaP1OxALBx8sEiSQX,Miguel Marques,Co3Sb5,2.0,P-1,,,True
Co-Sb,LzxmFhSQ4Qtnk4AyPzDe3aaqZ5rV,Akhil S nair,CoSb2,14.0,P2_1/c,C43,O2Zr,True
Co-Sb,M3DjZgSxeEywXtu9xcKViyRsZvnf,AFLOW,CoSb2,139.0,I4/mmm,C11b,MoSi2,False
Co-Sb,M8EeLrhEqiDLJ9daGAZd8QM-iwEZ,Miguel Marques,CoSb2,14.0,P2_1/c,C43,O2Zr,True
Co-Sb,MA-Uvfj-529e5cnVzqc43K78z6Xm,Miguel Marques,CoSb2,14.0,P2_1/c,C43,O2Zr,True
Co-Sb,MHqRGJANinAzi8Ays--yBzRwZlNz,AFLOW,Co2Sb4,12.0,C2/m,,,False
Co-Sb,MKgPL8GiPcuFrMkAePyQMySDj111,AFLOW,Co4Sb4,198.0,P2_13,B20,FeSi,False
Co-Sb,MYi-LnidGZnsuEqBaTDLen4pvX6M,AFLOW,Co4Sb2,12.0,C2/m,,,False
Co-Sb,MgPoNEKsFmzI1CxHcT_1y3XsABnp,OQMD,Co2Sb2,51.0,Pmma,B19,AuCd,False
Co-Sb,Mz70mzPuguUNDbusdoo-Wu6bmlvK,Thomas Purcell,Co64Sb192,,,,,True
Co-Sb,N7xwVJGAMc2H8NIoM463_agOiYhi,OQMD,CoSb,216.0,F-43m,B3,SZn,False
Co-Sb,NDrjHWl2QxP9wwnkZaHHD-tKPGW8,AFLOW,Co4Sb2,12.0,C2/m,,,False
Co-Sb,NMcBDVJZx32Pmj1JvBQoWQBrUvKQ,AFLOW,Co3Sb3,8.0,Cm,,,False
Co-Sb,NOAthYfJPTM7kKBLK9yaW1jENlqA,AFLOW,CoSb3,65.0,Cmmm,,,False
Co-Sb,NPDMcBxx55wS1VWyml1dXAyLhQ7k,Miguel Marques,CoSb3,63.0,Cmcm,,,True
Co-Sb,NPon4kOVM0m01N_7-6in21hGFfK1,OQMD,CoSb,166.0,R-3m,L11,CuPt,False
Co-Sb,NRwBfgtXAmHKNiTjVFOH8D4rmjPy,Miguel Marques,CoSb2,12.0,C2/m,,,True
Co-Sb,NU2vRGKyGuhFDrqHocEsfRw1l7iB,OQMD,Co2Sb2,186.0,P6_3mc,B4,SZn,False
Co-Sb,NfVLe6o0FEi7WW21df8ZdWurhy6v,AFLOW,Co2Sb2,63.0,Cmcm,B33,BCr,False
Co-Sb,Ngl8QSjYqMzWjknBwycpx5arV6kc,AFLOW,Co3Sb3,8.0,Cm,,,False
Co-Sb,Nsz_qJWAqJvR4LmiqRbGAcCVM-ll,Thomas Purcell,Co64Sb192,,,,,True
Co-Sb,O2c1zXuJLS_Q-vhUgWPH65tGBP9T,Materials Project,CoSb,194.0,P6_3/mmc,B81,AsNi,False
Co-Sb,O9YQJUzGEv3HYzk1KwHT3r85fUI5,Miguel Marques,CoSb3,187.0,P-6m2,,NRe3,True
Co-Sb,OK8GhTdDIXzbgyluCoo8b7FTTCC_,OQMD,CoSb,187.0,P-6m2,Bh,CW,False
Co-Sb,ONIkmjjlu2TqSznRowVuM0C-FhS1,AFLOW,Co2Sb2,186.0,P6_3mc,B4,SZn,False
Co-Sb,OS44qLqrGIHlBSX5uEQtwDoCYMTp,OQMD,Co6Sb2,194.0,P6_3/mmc,D019,Ni3Sn,False
Co-Sb,OmK00tQn8npWox_45g7Eqsoo19Dm,Miguel Marques,CoSb,164.0,P-3m1,,,True
Co-Sb,OwHR197Qc-c1HBhc6ESest1EMHD8,OQMD,Co3Sb,139.0,I4/mmm,D022,Al3Ti,False
Co-Sb,P-dZ6yEKj-7z9DxYImzybx8Jywt5,AFLOW,Co3Sb,221.0,Pm-3m,L12,AuCu3,False
Co-Sb,P4_f1Es6nuFGPyem6sJzEXlE6Dpv,AFLOW,CoSb3,139.0,I4/mmm,,,False
Co-Sb,P5lu_lRk3Ooh6HMvd7F4Nsfk7m4r,Miguel Marques,CoSb2,14.0,P2_1/c,C43,O2Zr,True
Co-Sb,PTWn8AplzLQIs0MbOcG0V0ALimqF,AFLOW,CoSb3,12.0,C2/m,,,False
Co-Sb,P_9C4Pul_py3gbfDs5L93roO8q_Z,AFLOW,Co2Sb2,63.0,Cmcm,B33,BCr,False
Co-Sb,PcInPCFiq0MqRCGTvO5HQfNDzxSM,OQMD,Co4Sb12,204.0,Im-3,D02,As3Co,False
Co-Sb,PmfEqHS0Skmbjp3O2s6bUwRXssXf,Miguel Marques,Co3Sb,59.0,Pmmn,,,True
Co-Sb,PrNrjv_jVBuQXJxiWRyKwv__5eRN,AFLOW,Co2Sb,164.0,P-3m1,C6,CdI2,False
Co-Sb,Q1qDj11vDsWdC4_k2uwW2apgJU2t,Miguel Marques,CoSb2,14.0,P2_1/c,C43,O2Zr,True
Co-Sb,QAcX_azQ3EAmVydJJofk17E30G6E,Miguel Marques,Co3Sb,223.0,Pm-3n,A15,Cr3Si,True
Co-Sb,QNVyfrPqE6j224ubc-kcxMwEGfNd,Miguel Marques,Co3Sb,223.0,Pm-3n,A15,Cr3Si,True
Co-Sb,QgDfeOOJgNPtWgah4XJkS_VfmjPs,AFLOW,CoSb,166.0,R-3m,L11,CuPt,False
Co-Sb,QiBPSV74Ac-oHsVVyrXCIcyhrc6F,Miguel Marques,CoSb,8.0,Cm,,,True
Co-Sb,QnfNgsWrIOXGtrvJ5FUnPKNnnX75,AFLOW,Co3Sb,123.0,P4/mmm,,,False
Co-Sb,QozRO46pPhZ5tY83S97GEdJe5H-R,Thomas Purcell,Co64Sb192,,,,,True
Co-Sb,QuPjUeWe1D3Go3tc2NarXqpWnzDo,AFLOW,CoSb3,123.0,P4/mmm,,,False
Co-Sb,Qy76d5Hek0QLeBzSKpi4XKU0vkTt,AFLOW,Co3Sb3,8.0,Cm,,,False
