chemsys,material_id,formula,composition_reduced,energy_above_hull,formation_energy_per_atom,is_stable,spacegroup,spacegroup_number,nsites,volume,density,band_gap
Si-Ti,mp-1187525,Ti3Si,Ti3 Si1,0.05649983694444401,-0.46985242999999705,False,P6_3/mmc,194,8,123.73420502719803,4.608137909726008,0.0
Si-Ti,mp-980420,Ti3Si,Ti3 Si1,0.014893564444443001,-0.511458702499998,False,P4_2/n,86,32,519.9849631427145,4.386159764848044,0.0
Si-Ti,mp-998986,Ti3Si,Ti3 Si1,0.193992525138888,-0.332359741805554,False,Fm-3m,225,4,62.17633615493415,4.585219362997103,0.0
Si-Ti,mp-2647026,Ti5Si,Ti5 Si1,0.051158681481481005,-0.29974282981481304,False,R32,155,12,195.80105770474069,4.535850752444161,0.0
Si-Ti,mp-2108,Ti5Si3,Ti5 Si3,0.0,-0.789528400416667,True,P6_3/mcm,193,16,245.66856891761668,4.374481682676191,0.0
Si-Ti,mp-505527,Ti5Si4,Ti5 Si4,0.0,-0.808110990370371,True,P4_12_12,92,36,543.9586037520537,4.2942488144989355,0.0
Si-Ti,mp-1065146,TiSi,Ti1 Si1,0.24111475750000003,-0.544249697083332,False,Amm2,38,2,29.368868614366452,4.294414439725505,0.0
Si-Ti,mp-22558,TiSi,Ti1 Si1,0.24029955249999901,-0.545064902083332,False,Cmmm,65,2,29.2597243074758,4.310433417983797,0.0
Si-Ti,mp-7092,TiSi,Ti1 Si1,0.0,-0.785364454583332,True,Pnma,62,8,118.09958047739894,4.271720287103741,0.0
Si-Ti,mp-1077503,TiSi2,Ti1 Si2,0.0,-0.538035765555555,True,Cmcm,63,6,85.07105327119068,4.061526377490749,0.0
Si-Ti,mp-1179092,TiSi2,Ti1 Si2,0.7371724966666661,0.19913673111110902,False,I4_1/amd,141,6,99.41034831127678,3.475677660236777,0.0
Si-Ti,mp-2582,TiSi2,Ti1 Si2,0.027358638333332002,-0.510677127222223,False,Fddd,70,6,83.8840625396684,4.118998488639811,0.0
Si-Ti,mp-570991,TiSi2,Ti1 Si2,0.179605386666665,-0.35843037888889,False,Immm,71,3,42.487253208289275,4.066141027380547,0.0
Co-Si,mp-19905,Co2Si,Co2 Si1,0.0,-0.331056189166666,True,Pnma,62,12,125.322678636893,7.735513406677512,0.0
Co-Si,mp-1105498,Co2Si3,Co2 Si3,0.202750637000001,-0.241066568,False,P-4c2,116,20,245.0922040721571,5.47766023598664,0.0
Co-Si,mp-1079393,Co3Si,Co3 Si1,0.06883505937499901,-0.1794570825,False,P6_3/mmc,194,8,85.2058699549065,7.985827454991447,0.0
Co-Si,mp-22746,CoSi,Co1 Si1,0.20111362124999901,-0.29181173125000004,False,Pm-3m,221,2,21.515895900670973,6.715869199178636,0.0
Co-Si,mp-7577,CoSi,Co1 Si1,0.0,-0.4929253525,True,P2_13,198,8,84.20725641751147,6.863918798427957,0.0
Co-Si,mp-2379,CoSi2,Co1 Si2,0.0,-0.41107844000000104,True,Fm-3m,225,3,37.49040591187122,5.098238012582362,0.0
Ni-Si,mp-27276,Si12Ni31,Si12 Ni31,0.0023610290116270003,-0.46282649046511604,False,P321,150,43,457.86154018239523,7.821115595846705,0.0
Ni-Si,mp-2291,Si2Ni,Si2 Ni1,0.0,-0.344433906666665,True,Fm-3m,225,3,39.06735986654285,4.882255269184835,0.0
Ni-Si,mp-29667,Si2Ni3,Si2 Ni3,0.0034002255000010004,-0.499238612499999,False,Cmcm,63,40,444.78371559932475,6.936624293361434,0.0
Ni-Si,mp-1209041,Si9Ni25,Si9 Ni25,0.011552343970588,-0.43807746720588103,False,P-3,147,34,361.54346513544965,7.9002969112285495,0.0
Ni-Si,mp-1095177,SiNi,Si1 Ni1,0.09659877750000001,-0.374056691249999,False,P2_13,198,8,91.349594766493,6.3098146839040155,0.0
Ni-Si,mp-351,SiNi,Si1 Ni1,0.0,-0.470655468750001,True,Pnma,62,8,95.11263185898753,6.060173114343621,0.0
Ni-Si,mp-999192,SiNi,Si1 Ni1,0.06185977125000001,-0.40879569750000005,False,Pmmn,59,4,45.152543077218,6.382796794419367,0.0
Ni-Si,mp-1118,SiNi2,Si1 Ni2,0.0,-0.5239610841666671,True,Pnma,62,12,127.59978623566468,7.57250288216039,0.0
Ni-Si,mp-507,SiNi2,Si1 Ni2,0.048186930833333,-0.47577415333333306,False,P6_3/mmc,194,6,63.85114045273147,7.566425142773512,0.0
Ni-Si,mp-1219285,SiNi3,Si1 Ni3,0.291199162499999,-0.142502518750001,False,R-3m,166,4,44.3606249218965,7.64247847064012,0.0
Ni-Si,mp-828,SiNi3,Si1 Ni3,0.0,-0.433701681250001,True,Pm-3m,221,4,41.55620475515073,8.158231073007569,0.0
Hf-N,mp-864647,Hf2N,Hf2 N1,0.0,-1.4078241012500001,True,P4_2/mnm,136,6,91.52212545339628,13.462054240702814,0.0
Hf-N,mp-1224383,Hf3N2,Hf3 N2,0.094391708000003,-1.5890352555000051,False,R3m,160,5,70.11077787992289,13.345825383411414,0.0
Hf-N,mp-1224388,Hf3N2,Hf3 N2,0.0,-1.683426963500005,True,R-3m,166,5,68.71834818981536,13.61624986235148,0.0
