chemsys,cod_id,formula,spacegroup,sg_number,a,b,c,vol,year,journal
Ni-Si,9009210,Ni2 Si,P b n m,62,7.03,4.99,3.72,130.496,1963,Crystal Structures
Hf-N,1533300,Hf3 N4,I -4 3 d,220,6.701,6.701,6.701,300.898,2003,Nature Materials
Hf-N,1539063,Hf N,F m -3 m,225,4.518,4.518,4.518,92.223,1970,Metallurgical Transactions
Hf-N,1539404,Hf N,F m -3 m,225,4.512,4.512,4.512,91.856,1967,Journal of Applied Physics
Hf-N,1539500,Hf N,F m -3 m,225,4.55,4.55,4.55,94.196,1994,Journal of Alloys Compd.
N-Zr,1011361,N Zr,F m -3 m,225,4.63,4.63,4.63,99.3,1925,Zeitschrift fuer Physik
N-Zr,1533301,N4 Zr3,I -4 3 d,220,6.74,6.74,6.74,306.182,2003,Nature Materials
N-Zr,1538058,N Zr,F m -3 m,225,4.578,4.578,4.578,95.946,1975,"Monatshefte fuer Chemie und verwandte Teile anderer Wissenschaften (109,1978-)"
N-Zr,1539259,N Zr,F m -3 m,225,4.537,4.537,4.537,93.391,1954,"Acta Chemica Scandinavica (1-27,1973-42,1988)"
N-Zr,1539488,N Zr,F m -3 m,225,4.6,4.6,4.6,97.336,1994,Journal of Alloys Compd.
N-Zr,4303939,N Zr,F m -3 m,225,4.55929,4.55929,4.55929,94.775,2009,Inorganic Chemistry
N-Zr,4303942,N Zr,F m -3 m,225,4.5627,4.5627,4.5627,94.987,2009,Inorganic Chemistry
N-Zr,4303945,N Zr,F m -3 m,225,4.56847,4.56847,4.56847,95.348,2009,Inorganic Chemistry
N-Zr,9008778,N Zr,F m -3 m,225,4.61,4.61,4.61,97.972,1963,Crystal Structures
N-Ta,1005006,N5 Ta3,C m c m,63,3.8862,10.2118,10.2624,407.3,1991,"Acta Crystallographica C (39,1983-)"
N-Ta,1523630,N Ta,P 63/m m c,194,3.048,3.048,4.918,39.568,1969,Revue Internationale des Hautes Temperatures et des Refractaires
N-Ta,1527256,N0.43 Ta,P -3 1 m,162,5.285,5.285,4.919,118.986,1977,Journal of Solid State Chemistry
N-Ta,1528098,N5 Ta3,C m c m,63,3.893,10.264,10.264,410.126,1973,Zeitschrift fuer Anorganische und Allgemeine Chemie
N-Ta,1538016,N Ta,P -6 m 2,187,2.938,2.938,2.883,21.552,1969,Revue Internationale des Hautes Temperatures et des Refractaires
N-Ta,1538884,N Ta0.83,F m -3 m,225,4.33,4.33,4.33,81.183,1975,Physics of Metals and Metallography
N-Ta,1539256,N Ta,P 6/m m m,191,5.185,5.185,2.908,67.705,1954,"Acta Chemica Scandinavica (1-27,1973-42,1988)"
N-Ta,1542116,N6 Ta5,P 63/m c m,193,5.176,5.176,10.353,240.207,1969,Revue Internationale des Hautes Temperatures et des Refractaires
