chemsys,jid,formula,formation_energy_peratom,ehull,is_stable,spg_number,spg_symbol,band_gap
N-Ta,JVASP-56551,TaN,-1.08471,0.2359,False,194,P6_3/mmc,0.0
N-Ta,JVASP-19720,TaN,-1.30982,0.0108,False,187,P-6m2,0.0
N-Ti,JVASP-110147,Ti3N4,-1.47388,0.1614,False,139,I4/mmm,0.0
N-Ta,JVASP-19732,TaN,-0.86086,0.4597,False,191,P6/mmm,0.0
Co-Se,JVASP-16657,Co3Se4,-0.28012,0.0208,False,12,C2/m,0.0
Co-Sb,JVASP-57879,CoSb2,-0.15256,0.0,True,14,P2_1/c,0.0
Si-Ti,JVASP-26862,Ti5Si4,-0.7265,0.0,True,92,P4_12_12,0.0
Co-Se,JVASP-59761,CoSe2,-0.29853,0.0262,False,205,Pa-3,0.0
N-Ti,JVASP-37594,Ti3N,0.21561,1.2776,False,139,I4/mmm,0.0
N-Ti,JVASP-37595,Ti3N,0.21528,1.2773,False,221,Pm-3m,0.0
N-Ti,JVASP-114361,TiN,-1.1551,0.7502,False,123,P4/mmm,0.0
N-Ti,JVASP-116349,TiN,4.34601,6.2513,False,99,P4mm,0.0
Co-Te,JVASP-119563,CoTe2,-0.1607,0.044,False,205,Pa-3,0.0
Co-Se,JVASP-123654,CoSe2,-0.32473,0.0,True,164,P-3m1,0.0
Co-Te,JVASP-128410,CoTe2,-0.20473,0.0,True,12,C2/m,0.0
Co-Te,JVASP-121626,Co5Te6,-0.09184,0.0778,False,148,R-3,0.0
N-Zr,JVASP-128717,ZrN3,-0.47131,0.552,False,38,Amm2,0.0
Si-Ti,JVASP-128779,Ti2Si,-0.18669,0.4407,False,191,P6/mmm,0.0
Bi-Ni,JVASP-126277,Ni3Bi,0.19246,0.2044,False,221,Pm-3m,0.0
Bi-Mo,JVASP-127471,BiMo,0.78038,0.7804,False,221,Pm-3m,0.0
Ni-Si,JVASP-126338,SiNi3,-0.4079,0.0,True,221,Pm-3m,0.0
Bi-W,JVASP-127627,BiW3,1.41219,1.8298,False,123,P4/mmm,0.0
Co-Se,JVASP-129182,CoSe,0.12137,0.4029,False,187,P-6m2,0.0
N-Ta,JVASP-128262,TaN,-0.54365,0.7769,False,221,Pm-3m,0.0
Bi-Mn,JVASP-123819,MnBi5,0.20328,0.2033,False,164,P-3m1,0.0
Bi-Mo,JVASP-123820,Bi5Mo,0.46895,0.4689,False,164,P-3m1,0.0
Bi-Mn,JVASP-132198,Mn28Bi,0.07049,0.0705,False,217,I-43m,0.0
Bi-W,JVASP-123862,Bi5W,0.53337,0.6262,False,164,P-3m1,0.0
Co-Te,JVASP-123893,CoTe,0.31921,0.4756,False,187,P-6m2,0.0
N-Ta,JVASP-152533,TaN2,-0.34658,0.7263,False,205,Pa-3,0.0
Si-Ti,JVASP-149789,TiSi,-0.49665,0.1955,False,71,Immm,0.0
Co-Si,JVASP-149852,Co3Si,-0.24077,0.0513,False,194,P6_3/mmc,0.0
Bi-Co,JVASP-153219,CoBi3,0.05927,0.0622,False,62,Pnma,0.0
Ni-Si,JVASP-150089,SiNi,-0.20027,0.2269,False,65,Cmmm,0.0
N-Ta,JVASP-150310,Ta4N5,-1.25877,0.0145,False,87,I4/m,0.0
N-Zr,JVASP-153044,Zr3N4,-1.74309,0.0,True,220,I-43d,0.766
Ni-Si,JVASP-154437,SiNi3,-0.40376,0.0041,True,221,Pm-3m,0.0
