cif_filename,formula,space_group,n_atoms,n_Co,n_Bi,min_CoCo,min_BiBi,min_CoBi,volume,volume_per_atom,packing_fraction
Co6_Bi4_m3_n2_z2_sg207_trial000_27a15e14ed.cif,Co6Bi4,207,10,6,4,2.790000,3.575969,3.918879,365.823107,36.582311,0.301462
Co6_Bi4_m3_n2_z2_sg224_trial000_89d4766daa.cif,Co6Bi4,224,10,6,4,2.790000,4.556051,2.790000,267.491941,26.749194,0.41228
Co6_Bi4_m3_n2_z2_sg221_trial000_3844dade51.cif,Co6Bi4,221,10,6,4,2.790000,3.380665,3.662089,309.09806,30.909806,0.356785
Co6_Bi4_m3_n2_z2_sg104_trial000_3fb0709e2e.cif,Co6Bi4,104,10,6,4,2.790000,4.004563,3.176568,429.843033,42.984303,0.256563
Co9_Bi6_m3_n2_z3_sg151_trial000_679452835a.cif,Co9Bi6,151,15,9,6,3.139136,3.397530,2.790000,773.238976,51.549265,0.213934
Co9_Bi6_m3_n2_z3_sg152_trial000_d782bcd853.cif,Co9Bi6,152,15,9,6,2.790000,2.831249,2.988206,718.106322,47.873755,0.230359
Co9_Bi6_m3_n2_z3_sg147_trial000_e20386deff.cif,Co9Bi6,147,15,9,6,2.823834,2.790000,3.127730,746.989647,49.79931,0.221452
Co9_Bi6_m3_n2_z3_sg148_trial000_6c37308d2a.cif,Co9Bi6,148,15,9,6,3.738690,4.310581,2.790000,512.434362,34.162291,0.322817
Co9_Bi6_m3_n2_z3_sg181_trial000_638ad389b9.cif,Co9Bi6,181,15,9,6,3.191140,3.095621,2.790000,478.970421,31.931361,0.345371
Co9_Bi6_m3_n2_z3_sg200_trial000_4c488b0ba6.cif,Co9Bi6,200,15,9,6,3.151547,3.788633,2.790000,458.681374,30.578758,0.360648
Co9_Bi6_m3_n2_z3_sg221_trial000_5f960bc2a7.cif,Co9Bi6,221,15,9,6,2.790000,4.157251,3.394419,574.789271,38.319285,0.287797
Co12_Bi8_m3_n2_z4_sg022_trial000_c82e8f2237.cif,Co12Bi8,22,20,12,8,2.897833,3.616065,2.790000,823.182641,41.159132,0.26794
Co12_Bi8_m3_n2_z4_sg037_trial000_ceb1a4f8a5.cif,Co12Bi8,37,20,12,8,2.817804,3.402523,2.790000,1065.451969,53.272598,0.207014
Co12_Bi8_m3_n2_z4_sg045_trial000_6ef2605238.cif,Co12Bi8,45,20,12,8,2.790000,3.358590,3.614397,1061.813593,53.09068,0.207723
Co12_Bi8_m3_n2_z4_sg056_trial000_a48754d3de.cif,Co12Bi8,56,20,12,8,2.790000,4.038350,2.896867,1066.313166,53.315658,0.206847
Co12_Bi8_m3_n2_z4_sg054_trial000_22aab18c8f.cif,Co12Bi8,54,20,12,8,2.790000,2.964411,3.038807,640.837372,32.041869,0.34418
Co12_Bi8_m3_n2_z4_sg064_trial000_a92fd38810.cif,Co12Bi8,64,20,12,8,2.928517,3.666076,2.790000,726.93944,36.346972,0.303414
Co12_Bi8_m3_n2_z4_sg068_trial000_e9ee2aeec4.cif,Co12Bi8,68,20,12,8,2.790000,2.790000,2.819562,1064.307172,53.215359,0.207237
Co12_Bi8_m3_n2_z4_sg069_trial000_a596de2f2d.cif,Co12Bi8,69,20,12,8,3.886898,3.886898,2.790000,977.700571,48.885029,0.225594
Co12_Bi8_m3_n2_z4_sg074_trial000_9719c5b4e1.cif,Co12Bi8,74,20,12,8,2.790000,4.597407,3.481599,1009.381445,50.469072,0.218513
Co12_Bi8_m3_n2_z4_sg085_trial000_40f71f9798.cif,Co12Bi8,85,20,12,8,3.376210,2.790000,2.890391,569.013676,28.450684,0.387624
Co12_Bi8_m3_n2_z4_sg086_trial000_91a589774e.cif,Co12Bi8,86,20,12,8,2.893397,3.086610,2.790000,1037.654204,51.88271,0.21256
Co12_Bi8_m3_n2_z4_sg088_trial000_5bd1f67abe.cif,Co12Bi8,88,20,12,8,4.315224,4.315224,2.790000,989.611335,49.480567,0.222879
Co12_Bi8_m3_n2_z4_sg114_trial000_ed7a22c016.cif,Co12Bi8,114,20,12,8,2.803208,4.871336,2.790000,894.112018,44.705601,0.246684
Co12_Bi8_m3_n2_z4_sg129_trial000_7350c40753.cif,Co12Bi8,129,20,12,8,2.790000,3.620779,3.594190,845.970725,42.298536,0.260722
Co12_Bi8_m3_n2_z4_sg132_trial000_7b28f56edd.cif,Co12Bi8,132,20,12,8,2.790000,2.790000,2.998848,876.317069,43.815853,0.251694
Co12_Bi8_m3_n2_z4_sg140_trial000_45209305ff.cif,Co12Bi8,140,20,12,8,2.858962,3.945656,2.790000,712.142364,35.607118,0.309718
Co12_Bi8_m3_n2_z4_sg163_trial000_4fd0476c56.cif,Co12Bi8,163,20,12,8,2.880642,4.910455,2.790000,932.332717,46.616636,0.236571
Co12_Bi8_m3_n2_z4_sg184_trial000_95e7571f1b.cif,Co12Bi8,184,20,12,8,2.790000,3.894974,2.837581,848.676149,42.433807,0.259891
Co12_Bi8_m3_n2_z4_sg199_trial000_b8a5962479.cif,Co12Bi8,199,20,12,8,3.135153,4.114339,2.790000,769.928483,38.496424,0.286472
Co12_Bi8_m3_n2_z4_sg204_trial000_5ce1a2d9b5.cif,Co12Bi8,204,20,12,8,2.790000,4.226914,3.074017,604.171297,30.208565,0.365068
